,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,ministries,id,id_nlp_help,id_nlp
847,11,11,98107,27023771.49,Leistungen an Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben,Bundesministerium für Arbeit und Soziales,981071111,Bundesministerium für Arbeit und Soziales einseinsneunachteinsnullsieben ,Bundesministerium für Arbeit und Soziales einseinsneunachteinsnullsieben  Leistungen an Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben
850,9,10,63203,26815245.21,Zuweisungen an die Länder zur Umsetzung von Maßnahmen im Rahmen der Reserve für die Anpassung an den Brexit (BAR),Bundesministerium für Wirtschaft und Klimaschutz,632030910,Bundesministerium für Wirtschaft und Klimaschutz einsnullsechsdreizweinulldrei ,Bundesministerium für Wirtschaft und Klimaschutz einsnullsechsdreizweinulldrei  Zuweisungen an die Länder zur Umsetzung von Maßnahmen im Rahmen der Reserve für die Anpassung an den Brexit (BAR)
851,12,1,71122,26780386.67,Hochbauten an Bundesstraßen bis 6 000 000 € Baukosten,Bundesministerium für Digitales und Verkehr,711221201,Bundesministerium für Digitales und Verkehr nulleinssiebeneinseinszweizwei ,Bundesministerium für Digitales und Verkehr nulleinssiebeneinseinszweizwei  Hochbauten an Bundesstraßen bis 6 000 000 € Baukosten
852,17,3,68511,26695391.9,Zuschuss an die Deutsche Stiftung für Engagement und Ehrenamt,"Bundesministerium für Familie, Senioren, Frauen und Jugend",685111703,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreisechsachtfünfeinseins ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreisechsachtfünfeinseins  Zuschuss an die Deutsche Stiftung für Engagement und Ehrenamt"
854,23,10,89633,26687332.99,Sonderinitiative Stabilisierung und Entwicklung Nordafrika-Nahost,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,896332310,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einsnullachtneunsechsdreidrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einsnullachtneunsechsdreidrei  Sonderinitiative Stabilisierung und Entwicklung Nordafrika-Nahost
855,14,1,55931,26680863.99,Beitrag zu den Beschaffungskosten,Bundesministerium der Verteidigung,559311401,Bundesministerium der Verteidigung nulleinsfünffünfneundreieins ,Bundesministerium der Verteidigung nulleinsfünffünfneundreieins  Beitrag zu den Beschaffungskosten
856,12,13,53204,26640870.87,Koordination der Flüchtlingsverteilung BALM,Bundesministerium für Digitales und Verkehr,532041213,Bundesministerium für Digitales und Verkehr einsdreifünfdreizweinullvier ,Bundesministerium für Digitales und Verkehr einsdreifünfdreizweinullvier  Koordination der Flüchtlingsverteilung BALM
857,6,28,53212,26504369.81,Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT),Bundesministerium des Innern und für Heimat,532120628,Bundesministerium des Innern und für Heimat zweiachtfünfdreizweieinszwei ,Bundesministerium des Innern und für Heimat zweiachtfünfdreizweieinszwei  Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT)
858,12,17,42801,26448950.36,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Digitales und Verkehr,428011217,Bundesministerium für Digitales und Verkehr einssiebenvierzweiachtnulleins ,Bundesministerium für Digitales und Verkehr einssiebenvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
859,12,11,44101,26409371.96,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium für Digitales und Verkehr,441011211,Bundesministerium für Digitales und Verkehr einseinsvierviereinsnulleins ,Bundesministerium für Digitales und Verkehr einseinsvierviereinsnulleins  Beihilfen aufgrund der Beihilfevorschriften
860,14,8,28601,26402542.0,Erstattung der Kosten für die Verwaltung und die Mitbenutzung von NATO-Einrichtungen in Deutschland und damit zusammenhängende Unterstützungsleistungen,Bundesministerium der Verteidigung,286011408,Bundesministerium der Verteidigung nullachtzweiachtsechsnulleins ,Bundesministerium der Verteidigung nullachtzweiachtsechsnulleins  Erstattung der Kosten für die Verwaltung und die Mitbenutzung von NATO-Einrichtungen in Deutschland und damit zusammenhängende Unterstützungsleistungen
863,15,17,42801,26144489.25,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Gesundheit,428011517,Bundesministerium für Gesundheit einssiebenvierzweiachtnulleins ,Bundesministerium für Gesundheit einssiebenvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
864,4,53,42201,26059834.97,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundeskanzler und Bundeskanzleramt,422010453,Bundeskanzler und Bundeskanzleramt fünfdreivierzweizweinulleins ,Bundeskanzler und Bundeskanzleramt fünfdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
865,6,1,68424,25801000.0,Beteiligung des Bundes an der Ausrichtung der Special Olympics World Games 2023 in Berlin,Bundesministerium des Innern und für Heimat,684240601,Bundesministerium des Innern und für Heimat nulleinssechsachtvierzweivier ,Bundesministerium des Innern und für Heimat nulleinssechsachtvierzweivier  Beteiligung des Bundes an der Ausrichtung der Special Olympics World Games 2023 in Berlin
866,6,33,81202,25800053.37,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium des Innern und für Heimat,812020633,Bundesministerium des Innern und für Heimat dreidreiachteinszweinullzwei ,"Bundesministerium des Innern und für Heimat dreidreiachteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik"
867,5,14,42801,25705353.23,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Auswärtiges Amt,428010514,Auswärtiges Amt einsviervierzweiachtnulleins ,Auswärtiges Amt einsviervierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
868,16,12,42801,25621627.34,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",428011612,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einszweivierzweiachtnulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einszweivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer"
869,16,8,68401,25615401.92,Zuschüsse an die Vertretung der Verbraucher,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",684011608,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullachtsechsachtviernulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullachtsechsachtviernulleins  Zuschüsse an die Vertretung der Verbraucher"
871,5,12,51731,25506268.65,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Auswärtiges Amt,517310512,Auswärtiges Amt einszweifünfeinssiebendreieins ,"Auswärtiges Amt einszweifünfeinssiebendreieins  Bewirtschaftung der Grundstücke, Gebäude und Räume"
872,9,3,52602,25495099.75,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",Bundesministerium für Wirtschaft und Klimaschutz,526020903,Bundesministerium für Wirtschaft und Klimaschutz nulldreifünfzweisechsnullzwei ,"Bundesministerium für Wirtschaft und Klimaschutz nulldreifünfzweisechsnullzwei  Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen"
873,16,1,13202,25376944.17,Erlöse aus der Veräußerung von Emissionsberechtigungen zur Refinanzierung der Deutschen Emissionshandelsstelle,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",132021601,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinseinsdreizweinullzwei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinseinsdreizweinullzwei  Erlöse aus der Veräußerung von Emissionsberechtigungen zur Refinanzierung der Deutschen Emissionshandelsstelle"
876,23,12,42801,25227873.84,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,428012312,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einszweivierzweiachtnulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einszweivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
877,7,18,42801,25224873.94,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Justiz,428010718,Bundesministerium der Justiz einsachtvierzweiachtnulleins ,Bundesministerium der Justiz einsachtvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
878,14,11,98107,25134084.1,Leistungen an Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben,Bundesministerium der Verteidigung,981071411,Bundesministerium der Verteidigung einseinsneunachteinsnullsieben ,Bundesministerium der Verteidigung einseinsneunachteinsnullsieben  Leistungen an Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben
879,10,11,63403,25102948.91,Zuweisungen an den Versorgungsfonds,Bundesministerium für Ernährung und Landwirtschaft,634031011,Bundesministerium für Ernährung und Landwirtschaft einseinssechsdreiviernulldrei ,Bundesministerium für Ernährung und Landwirtschaft einseinssechsdreiviernulldrei  Zuweisungen an den Versorgungsfonds
880,9,3,53245,25028775.37,Internationale Zusammenarbeit,Bundesministerium für Wirtschaft und Klimaschutz,532450903,Bundesministerium für Wirtschaft und Klimaschutz nulldreifünfdreizweivierfünf ,Bundesministerium für Wirtschaft und Klimaschutz nulldreifünfdreizweivierfünf  Internationale Zusammenarbeit
881,11,11,63403,24906395.92,Zuweisungen an den Versorgungsfonds,Bundesministerium für Arbeit und Soziales,634031111,Bundesministerium für Arbeit und Soziales einseinssechsdreiviernulldrei ,Bundesministerium für Arbeit und Soziales einseinssechsdreiviernulldrei  Zuweisungen an den Versorgungsfonds
882,9,16,53201,24892375.62,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium für Wirtschaft und Klimaschutz,532010916,Bundesministerium für Wirtschaft und Klimaschutz einssechsfünfdreizweinulleins ,Bundesministerium für Wirtschaft und Klimaschutz einssechsfünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik
883,16,11,63403,24872394.05,Zuweisungen an den Versorgungsfonds,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",634031611,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einseinssechsdreiviernulldrei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einseinssechsdreiviernulldrei  Zuweisungen an den Versorgungsfonds"
884,15,12,42801,24851987.02,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Gesundheit,428011512,Bundesministerium für Gesundheit einszweivierzweiachtnulleins ,Bundesministerium für Gesundheit einszweivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
886,15,12,51802,24743956.86,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Gesundheit,518021512,Bundesministerium für Gesundheit einszweifünfeinsachtnullzwei ,Bundesministerium für Gesundheit einszweifünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement
888,16,1,68706,24568765.12,Internationaler Umweltschutz - Export von Technologien gegen die Vermüllung der Meere,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",687061601,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinssechsachtsiebennullsechs ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinssechsachtsiebennullsechs  Internationaler Umweltschutz - Export von Technologien gegen die Vermüllung der Meere"
889,12,18,98101,24538284.87,Leistungen an Bundesbehörden zur Durchführung von Aufträgen,Bundesministerium für Digitales und Verkehr,981011218,Bundesministerium für Digitales und Verkehr einsachtneunachteinsnulleins ,Bundesministerium für Digitales und Verkehr einsachtneunachteinsnulleins  Leistungen an Bundesbehörden zur Durchführung von Aufträgen
890,9,1,68503,24536527.51,Sprunginnovationen und Innovationsökosystem,Bundesministerium für Wirtschaft und Klimaschutz,685030901,Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtfünfnulldrei ,Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtfünfnulldrei  Sprunginnovationen und Innovationsökosystem
891,6,25,51122,24430710.74,Unterhaltung von Luftsicherheitskontrollgerät,Bundesministerium des Innern und für Heimat,511220625,Bundesministerium des Innern und für Heimat zweifünffünfeinseinszweizwei ,Bundesministerium des Innern und für Heimat zweifünffünfeinseinszweizwei  Unterhaltung von Luftsicherheitskontrollgerät
892,8,12,11201,24416854.37,"Geldstrafen, Geldbußen und Gerichtskosten",Bundesministerium der Finanzen,112010812,Bundesministerium der Finanzen einszweieinseinszweinulleins ,"Bundesministerium der Finanzen einszweieinseinszweinulleins  Geldstrafen, Geldbußen und Gerichtskosten"
893,12,11,53201,24168789.42,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium für Digitales und Verkehr,532011211,Bundesministerium für Digitales und Verkehr einseinsfünfdreizweinulleins ,Bundesministerium für Digitales und Verkehr einseinsfünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik
894,17,12,42801,24124677.91,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,"Bundesministerium für Familie, Senioren, Frauen und Jugend",428011712,"Bundesministerium für Familie, Senioren, Frauen und Jugend einszweivierzweiachtnulleins ","Bundesministerium für Familie, Senioren, Frauen und Jugend einszweivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer"
896,10,3,11909,24034017.46,Vermischte Einnahmen,Bundesministerium für Ernährung und Landwirtschaft,119091003,Bundesministerium für Ernährung und Landwirtschaft nulldreieinseinsneunnullneun ,Bundesministerium für Ernährung und Landwirtschaft nulldreieinseinsneunnullneun  Vermischte Einnahmen
897,17,3,68422,23971919.17,Förderung von Modellprojekten zur Einrichtung von Mehrgenerationenhäusern,"Bundesministerium für Familie, Senioren, Frauen und Jugend",684221703,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreisechsachtvierzweizwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreisechsachtvierzweizwei  Förderung von Modellprojekten zur Einrichtung von Mehrgenerationenhäusern"
898,7,19,51802,23886856.15,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Justiz,518020719,Bundesministerium der Justiz einsneunfünfeinsachtnullzwei ,Bundesministerium der Justiz einsneunfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement
899,17,11,43257,23741147.17,Versorgungsbezüge,"Bundesministerium für Familie, Senioren, Frauen und Jugend",432571711,"Bundesministerium für Familie, Senioren, Frauen und Jugend einseinsvierdreizweifünfsieben ","Bundesministerium für Familie, Senioren, Frauen und Jugend einseinsvierdreizweifünfsieben  Versorgungsbezüge"
900,14,4,55105,23675000.0,Beitrag zum deutsch- französischen Forschungsinstitut St. Louis (ISL),Bundesministerium der Verteidigung,551051404,Bundesministerium der Verteidigung nullvierfünffünfeinsnullfünf ,Bundesministerium der Verteidigung nullvierfünffünfeinsnullfünf  Beitrag zum deutsch- französischen Forschungsinstitut St. Louis (ISL)
901,4,12,42801,23634403.36,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundeskanzler und Bundeskanzleramt,428010412,Bundeskanzler und Bundeskanzleramt einszweivierzweiachtnulleins ,Bundeskanzler und Bundeskanzleramt einszweivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
902,12,18,12401,23625616.3,"Einnahmen aus Vermietung, Verpachtung und Nutzung",Bundesministerium für Digitales und Verkehr,124011218,Bundesministerium für Digitales und Verkehr einsachteinszweiviernulleins ,"Bundesministerium für Digitales und Verkehr einsachteinszweiviernulleins  Einnahmen aus Vermietung, Verpachtung und Nutzung"
903,14,4,28101,23604397.01,"Einnahmen aus der Erstattung von wehrtechnischen und sonstigen militärischen Forschungs-, Entwicklungs- und Erprobungskosten",Bundesministerium der Verteidigung,281011404,Bundesministerium der Verteidigung nullvierzweiachteinsnulleins ,"Bundesministerium der Verteidigung nullvierzweiachteinsnulleins  Einnahmen aus der Erstattung von wehrtechnischen und sonstigen militärischen Forschungs-, Entwicklungs- und Erprobungskosten"
904,14,11,45202,23603739.97,Unfallversicherung Bund und Bahn,Bundesministerium der Verteidigung,452021411,Bundesministerium der Verteidigung einseinsvierfünfzweinullzwei ,Bundesministerium der Verteidigung einseinsvierfünfzweinullzwei  Unfallversicherung Bund und Bahn
905,7,11,44657,23602864.12,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Justiz,446570711,Bundesministerium der Justiz einseinsvierviersechsfünfsieben ,Bundesministerium der Justiz einseinsvierviersechsfünfsieben  Beihilfen aufgrund der Beihilfevorschriften
906,16,1,68602,23470196.71,Förderung der künstlichen Intelligenz,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",686021601,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinssechsachtsechsnullzwei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinssechsachtsechsnullzwei  Förderung der künstlichen Intelligenz"
907,17,3,89323,23389148.16,"Bundesprogramm zur Förderung von Innovationen im Hilfesystem zur Unterstützung gewaltbetroffener Frauen mit ihren Kindern - Bau, Modernisierung und Sanierung","Bundesministerium für Familie, Senioren, Frauen und Jugend",893231703,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreiachtneundreizweidrei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreiachtneundreizweidrei  Bundesprogramm zur Förderung von Innovationen im Hilfesystem zur Unterstützung gewaltbetroffener Frauen mit ihren Kindern - Bau, Modernisierung und Sanierung"
908,11,6,68731,23305596.96,Beiträge an internationale Organisationen,Bundesministerium für Arbeit und Soziales,687311106,Bundesministerium für Arbeit und Soziales nullsechssechsachtsiebendreieins ,Bundesministerium für Arbeit und Soziales nullsechssechsachtsiebendreieins  Beiträge an internationale Organisationen
909,16,1,89201,23282410.56,Investitionen zur Verminderung von Umweltbelastungen,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",892011601,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinsachtneunzweinulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinsachtneunzweinulleins  Investitionen zur Verminderung von Umweltbelastungen"
910,23,4,68702,23152748.5,"Zahlungen an die Asiatische Entwicklungsbank, an den Asiatischen Entwicklungsfonds sowie an den Sonderfonds für Technische Hilfe",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687022304,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullviersechsachtsiebennullzwei ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullviersechsachtsiebennullzwei  Zahlungen an die Asiatische Entwicklungsbank, an den Asiatischen Entwicklungsfonds sowie an den Sonderfonds für Technische Hilfe"
911,17,3,68426,23140613.19,Zuschüsse und Leistungen für laufende Zwecke an Träger und für Aufgaben der Gleichstellungspolitik,"Bundesministerium für Familie, Senioren, Frauen und Jugend",684261703,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreisechsachtvierzweisechs ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreisechsachtvierzweisechs  Zuschüsse und Leistungen für laufende Zwecke an Träger und für Aufgaben der Gleichstellungspolitik"
912,17,3,68425,23006317.52,"Zuschüsse und Leistungen für laufende Zwecke an Träger und für Aufgaben der Politik für ältere, einsame und pflegende Menschen, des Palliativ- und Hospizbereichs sowie des demografischen Wandels","Bundesministerium für Familie, Senioren, Frauen und Jugend",684251703,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreisechsachtvierzweifünf ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreisechsachtvierzweifünf  Zuschüsse und Leistungen für laufende Zwecke an Träger und für Aufgaben der Politik für ältere, einsame und pflegende Menschen, des Palliativ- und Hospizbereichs sowie des demografischen Wandels"
913,17,3,68421,22973254.1,Zuschüsse und Leistungen für laufende Zwecke an Träger und für Aufgaben der Familienpolitik,"Bundesministerium für Familie, Senioren, Frauen und Jugend",684211703,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreisechsachtvierzweieins ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreisechsachtvierzweieins  Zuschüsse und Leistungen für laufende Zwecke an Träger und für Aufgaben der Familienpolitik"
915,10,5,89311,22883275.92,"Zuschüsse zur Förderung von Forschungs-, Entwicklungs- und Demonstrationsvorhaben im Bereich der nachwachsenden Rohstoffe (Investitionen)",Bundesministerium für Ernährung und Landwirtschaft,893111005,Bundesministerium für Ernährung und Landwirtschaft nullfünfachtneundreieinseins ,"Bundesministerium für Ernährung und Landwirtschaft nullfünfachtneundreieinseins  Zuschüsse zur Förderung von Forschungs-, Entwicklungs- und Demonstrationsvorhaben im Bereich der nachwachsenden Rohstoffe (Investitionen)"
916,8,13,26101,22848064.01,Erstattungen von Verwaltungsausgaben aus dem Inland,Bundesministerium der Finanzen,261010813,Bundesministerium der Finanzen einsdreizweisechseinsnulleins ,Bundesministerium der Finanzen einsdreizweisechseinsnulleins  Erstattungen von Verwaltungsausgaben aus dem Inland
917,9,1,89210,22783812.95,Innovativer Schiffbau sichert wettbewerbsfähige Arbeitsplätze,Bundesministerium für Wirtschaft und Klimaschutz,892100901,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunzweieinsnull ,Bundesministerium für Wirtschaft und Klimaschutz nulleinsachtneunzweieinsnull  Innovativer Schiffbau sichert wettbewerbsfähige Arbeitsplätze
918,4,32,54203,22756837.74,Ressortübergreifende Kommunikation und Koordinierung,Bundeskanzler und Bundeskanzleramt,542030432,Bundeskanzler und Bundeskanzleramt dreizweifünfvierzweinulldrei ,Bundeskanzler und Bundeskanzleramt dreizweifünfvierzweinulldrei  Ressortübergreifende Kommunikation und Koordinierung
919,5,12,51921,22678172.88,Unterhaltung der Grundstücke und baulichen Anlagen,Auswärtiges Amt,519210512,Auswärtiges Amt einszweifünfeinsneunzweieins ,Auswärtiges Amt einszweifünfeinsneunzweieins  Unterhaltung der Grundstücke und baulichen Anlagen
921,12,10,68313,22612085.61,Förderprogramm Motoren und Modernisierung für die Binnenschifffahrt,Bundesministerium für Digitales und Verkehr,683131210,Bundesministerium für Digitales und Verkehr einsnullsechsachtdreieinsdrei ,Bundesministerium für Digitales und Verkehr einsnullsechsachtdreieinsdrei  Förderprogramm Motoren und Modernisierung für die Binnenschifffahrt
922,11,7,68411,22580086.7,Denkfabrik Digitale Arbeitsgesellschaft,Bundesministerium für Arbeit und Soziales,684111107,Bundesministerium für Arbeit und Soziales nullsiebensechsachtviereinseins ,Bundesministerium für Arbeit und Soziales nullsiebensechsachtviereinseins  Denkfabrik Digitale Arbeitsgesellschaft
923,10,3,88297,22579451.35,Bundesanteil zur Finanzierung des Sonderahmenplans für Maßnahmen des Ökolandbaus und der Biologischen Vielfalt (Investitionen),Bundesministerium für Ernährung und Landwirtschaft,882971003,Bundesministerium für Ernährung und Landwirtschaft nulldreiachtachtzweineunsieben ,Bundesministerium für Ernährung und Landwirtschaft nulldreiachtachtzweineunsieben  Bundesanteil zur Finanzierung des Sonderahmenplans für Maßnahmen des Ökolandbaus und der Biologischen Vielfalt (Investitionen)
925,14,13,52501,22484184.02,Aus- und Fortbildung,Bundesministerium der Verteidigung,525011413,Bundesministerium der Verteidigung einsdreifünfzweifünfnulleins ,Bundesministerium der Verteidigung einsdreifünfzweifünfnulleins  Aus- und Fortbildung
926,8,13,51801,22429433.61,Mieten und Pachten,Bundesministerium der Finanzen,518010813,Bundesministerium der Finanzen einsdreifünfeinsachtnulleins ,Bundesministerium der Finanzen einsdreifünfeinsachtnulleins  Mieten und Pachten
927,12,1,82141,22343627.42,Grunderwerb für Um- und Ausbau einschl. Lärmschutzmaßnahmen (Bundesstraßen),Bundesministerium für Digitales und Verkehr,821411201,Bundesministerium für Digitales und Verkehr nulleinsachtzweieinsviereins ,Bundesministerium für Digitales und Verkehr nulleinsachtzweieinsviereins  Grunderwerb für Um- und Ausbau einschl. Lärmschutzmaßnahmen (Bundesstraßen)
928,5,4,68713,22338920.34,Ausbau der Zusammenarbeit mit der Zivilgesellschaft in den Ländern der östlichen Partnerschaft und Russland,Auswärtiges Amt,687130504,Auswärtiges Amt nullviersechsachtsiebeneinsdrei ,Auswärtiges Amt nullviersechsachtsiebeneinsdrei  Ausbau der Zusammenarbeit mit der Zivilgesellschaft in den Ländern der östlichen Partnerschaft und Russland
930,4,52,89491,22330000.0,"Zuschuss für Investitionen der Rundfunkanstalt ""Deutsche Welle""",Bundeskanzler und Bundeskanzleramt,894910452,Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierneuneins ,"Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierneuneins  Zuschuss für Investitionen der Rundfunkanstalt ""Deutsche Welle"""
931,10,4,66101,22300000.0,Finanzierung von Krediten für EU-Marktordnungsmaßnahmen und Maßnahmen der Notfallvorsorge,Bundesministerium für Ernährung und Landwirtschaft,661011004,Bundesministerium für Ernährung und Landwirtschaft nullviersechssechseinsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nullviersechssechseinsnulleins  Finanzierung von Krediten für EU-Marktordnungsmaßnahmen und Maßnahmen der Notfallvorsorge
933,17,13,67101,22205098.39,"Kosten der Durchführung von Seminaren in den staatlichen Bildungszentren, die in Zusammenarbeit mit Vertragspartnern betrieben werden","Bundesministerium für Familie, Senioren, Frauen und Jugend",671011713,"Bundesministerium für Familie, Senioren, Frauen und Jugend einsdreisechssiebeneinsnulleins ","Bundesministerium für Familie, Senioren, Frauen und Jugend einsdreisechssiebeneinsnulleins  Kosten der Durchführung von Seminaren in den staatlichen Bildungszentren, die in Zusammenarbeit mit Vertragspartnern betrieben werden"
934,2,12,51801,22144075.96,Mieten und Pachten,Deutscher Bundestag,518010212,Deutscher Bundestag einszweifünfeinsachtnulleins ,Deutscher Bundestag einszweifünfeinsachtnulleins  Mieten und Pachten
935,23,11,43257,22094590.16,Versorgungsbezüge,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,432572311,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einseinsvierdreizweifünfsieben ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einseinsvierdreizweifünfsieben  Versorgungsbezüge
936,12,20,81202,22007021.94,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium für Digitales und Verkehr,812021220,Bundesministerium für Digitales und Verkehr zweinullachteinszweinullzwei ,"Bundesministerium für Digitales und Verkehr zweinullachteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik"
