,Epl.,Kap.,Tit.,Ist 2016,Zweckbestimmung,ministries,2016 id,id_nlp_help,id_nlp,2016 Zweck,id
757,10,1,63603,20191244.96,Zuschüsse zur Gewährung einer Rente an Kleinlandwirte bei Landabgabe (Landabgaberente),Bundesministerium für Ernährung und Landwirtschaft,636031001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulldrei ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulldrei  Zuschüsse zur Gewährung einer Rente an Kleinlandwirte bei Landabgabe (Landabgaberente),Bundesministerium für Ernährung und Landwirtschaft,636031001.0
758,30,2,88261,20190000.0,Kompensationsmittel für die Abschaffung der GA Bildungsplanung,Bundesministerium für Bildung und Forschung,882613002,Bundesministerium für Bildung und Forschung nullzweiachtachtzweisechseins ,Bundesministerium für Bildung und Forschung nullzweiachtachtzweisechseins  Kompensationsmittel für die Abschaffung der GA Bildungsplanung,,
759,14,10,12501,20180003.52,Leistungen Dritter für Aufträge an militärische oder zivile Dienststellen,Bundesministerium der Verteidigung,125011410,Bundesministerium der Verteidigung einsnulleinszweifünfnulleins ,Bundesministerium der Verteidigung einsnulleinszweifünfnulleins  Leistungen Dritter für Aufträge an militärische oder zivile Dienststellen,Bundesministerium der Verteidigung,125011410.0
760,11,3,63621,20106100.37,Heil- und Krankenbehandlung für Berechtigte nach dem OEG,Bundesministerium für Arbeit und Soziales,636211103,Bundesministerium für Arbeit und Soziales nulldreisechsdreisechszweieins ,Bundesministerium für Arbeit und Soziales nulldreisechsdreisechszweieins  Heil- und Krankenbehandlung für Berechtigte nach dem OEG,Bundesministerium für Arbeit und Soziales,636211103.0
761,23,3,68703,20000000.0,Förderung der internationalen Agrarforschung,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687032303,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreisechsachtsiebennulldrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreisechsachtsiebennulldrei  Förderung der internationalen Agrarforschung,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687032303.0
762,4,52,89424,19995000.0,Zuschüsse für investive Kulturmaßnahmen bei Einrichtungen im Inland,Bundeskanzler und Bundeskanzleramt,894240452,Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierzweivier ,Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierzweivier  Zuschüsse für investive Kulturmaßnahmen bei Einrichtungen im Inland,Bundeskanzler und Bundeskanzleramt,894240452.0
763,8,13,13201,19964490.58,Erlöse aus der Veräußerung von beweglichen Sachen,Bundesministerium der Finanzen,132010813,Bundesministerium der Finanzen einsdreieinsdreizweinulleins ,Bundesministerium der Finanzen einsdreieinsdreizweinulleins  Erlöse aus der Veräußerung von beweglichen Sachen,Bundesministerium der Finanzen,132010813.0
766,8,13,52701,19853845.61,Dienstreisen,Bundesministerium der Finanzen,527010813,Bundesministerium der Finanzen einsdreifünfzweisiebennulleins ,Bundesministerium der Finanzen einsdreifünfzweisiebennulleins  Dienstreisen,Bundesministerium der Finanzen,527010815.0
767,8,3,89121,19800000.0,Zuwendungen an die Energiewerke Nord GmbH (EWN) - Investitionen,Bundesministerium der Finanzen,891210803,Bundesministerium der Finanzen nulldreiachtneuneinszweieins ,Bundesministerium der Finanzen nulldreiachtneuneinszweieins  Zuwendungen an die Energiewerke Nord GmbH (EWN) - Investitionen,,
770,14,13,53999,19762516.36,Vermischte Verwaltungsausgaben,Bundesministerium der Verteidigung,539991413,Bundesministerium der Verteidigung einsdreifünfdreineunneunneun ,Bundesministerium der Verteidigung einsdreifünfdreineunneunneun  Vermischte Verwaltungsausgaben,Bundesministerium der Verteidigung,539991413.0
771,6,10,81111,19649100.73,Erwerb von Fahrzeugen,Bundesministerium des Innern und für Heimat,811110610,Bundesministerium des Innern und für Heimat einsnullachteinseinseinseins ,Bundesministerium des Innern und für Heimat einsnullachteinseinseinseins  Erwerb von Fahrzeugen,Bundesministerium des Innern und für Heimat,811110610.0
772,16,13,42709,19624856.9,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",427091613,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdreivierzweisiebennullneun ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdreivierzweisiebennullneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",427091613.0
773,17,11,43257,19591532.88,Versorgungsbezüge,"Bundesministerium für Familie, Senioren, Frauen und Jugend",432571711,"Bundesministerium für Familie, Senioren, Frauen und Jugend einseinsvierdreizweifünfsieben ","Bundesministerium für Familie, Senioren, Frauen und Jugend einseinsvierdreizweifünfsieben  Versorgungsbezüge","Bundesministerium für Familie, Senioren, Frauen und Jugend",432571711.0
774,14,10,53701,19573918.71,"Hilfs- und Unterstützungsleistungen aus Anlass von Katastrophen, größeren Unglücks-, Notfällen und internationalen Krisensituationen sowie Maßnahmen zur Vorbeugung internationaler Krisensituationen",Bundesministerium der Verteidigung,537011410,Bundesministerium der Verteidigung einsnullfünfdreisiebennulleins ,"Bundesministerium der Verteidigung einsnullfünfdreisiebennulleins  Hilfs- und Unterstützungsleistungen aus Anlass von Katastrophen, größeren Unglücks-, Notfällen und internationalen Krisensituationen sowie Maßnahmen zur Vorbeugung internationaler Krisensituationen",Bundesministerium der Verteidigung,537011410.0
775,6,3,68519,19519783.86,Zuschuss für Programme zur Förderung der freiwilligen Ausreise,Bundesministerium des Innern und für Heimat,685190603,Bundesministerium des Innern und für Heimat nulldreisechsachtfünfeinsneun ,Bundesministerium des Innern und für Heimat nulldreisechsachtfünfeinsneun  Zuschuss für Programme zur Förderung der freiwilligen Ausreise,Bundesministerium des Innern und für Heimat,685190603.0
776,5,11,44657,19501720.87,Beihilfen aufgrund der Beihilfevorschriften,Auswärtiges Amt,446570511,Auswärtiges Amt einseinsvierviersechsfünfsieben ,Auswärtiges Amt einseinsvierviersechsfünfsieben  Beihilfen aufgrund der Beihilfevorschriften,Auswärtiges Amt,446570511.0
777,6,25,27202,19438885.46,Einnahmen aus Zuschüssen des Außengrenzenfonds der Europäischen Union,Bundesministerium des Innern und für Heimat,272020625,Bundesministerium des Innern und für Heimat zweifünfzweisiebenzweinullzwei ,Bundesministerium des Innern und für Heimat zweifünfzweisiebenzweinullzwei  Einnahmen aus Zuschüssen des Außengrenzenfonds der Europäischen Union,Bundesministerium des Innern und für Heimat,272010622.0
778,6,25,68401,19438885.46,Zuschüsse für Projekte aus dem Außengrenzenfonds der Europäischen Union,Bundesministerium des Innern und für Heimat,684010625,Bundesministerium des Innern und für Heimat zweifünfsechsachtviernulleins ,Bundesministerium des Innern und für Heimat zweifünfsechsachtviernulleins  Zuschüsse für Projekte aus dem Außengrenzenfonds der Europäischen Union,Bundesministerium des Innern und für Heimat,685010625.0
780,4,12,42201,19367973.83,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundeskanzler und Bundeskanzleramt,422010412,Bundeskanzler und Bundeskanzleramt einszweivierzweizweinulleins ,Bundeskanzler und Bundeskanzleramt einszweivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundeskanzler und Bundeskanzleramt,422010412.0
781,23,1,68705,19200000.0,"Förderung von Medien, Zugang zu Information und Meinungsfreiheit in Kooperationsländern",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687052301,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinssechsachtsiebennullfünf ,"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulleinssechsachtsiebennullfünf  Förderung von Medien, Zugang zu Information und Meinungsfreiheit in Kooperationsländern",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687052301.0
782,14,13,53101,19127418.31,Beratungsleistungen zur Optimierung der Bundeswehr,Bundesministerium der Verteidigung,531011413,Bundesministerium der Verteidigung einsdreifünfdreieinsnulleins ,Bundesministerium der Verteidigung einsdreifünfdreieinsnulleins  Beratungsleistungen zur Optimierung der Bundeswehr,Bundesministerium der Verteidigung,531011413.0
783,60,2,88233,19062084.77,"Zuweisungen für betriebliche Investitionen und wirtschaftsnahe Infrastrukturmaßnahmen im Rahmen der Gemeinschaftsaufgabe ""Verbesserung der regionalen Wirtschaftsstruktur"" (GRW)",Allgemeine Finanzverwaltung,882336002,Allgemeine Finanzverwaltung nullzweiachtachtzweidreidrei ,"Allgemeine Finanzverwaltung nullzweiachtachtzweidreidrei  Zuweisungen für betriebliche Investitionen und wirtschaftsnahe Infrastrukturmaßnahmen im Rahmen der Gemeinschaftsaufgabe ""Verbesserung der regionalen Wirtschaftsstruktur"" (GRW)",,
786,11,4,68101,18999999.18,Fremdrenten in der Unfallversicherung,Bundesministerium für Arbeit und Soziales,681011104,Bundesministerium für Arbeit und Soziales nullviersechsachteinsnulleins ,Bundesministerium für Arbeit und Soziales nullviersechsachteinsnulleins  Fremdrenten in der Unfallversicherung,Bundesministerium für Arbeit und Soziales,681011104.0
787,14,13,53401,18978896.6,Betrieb der Anlagen zur Entsorgung von chemischen Kampfstoffen,Bundesministerium der Verteidigung,534011413,Bundesministerium der Verteidigung einsdreifünfdreiviernulleins ,Bundesministerium der Verteidigung einsdreifünfdreiviernulleins  Betrieb der Anlagen zur Entsorgung von chemischen Kampfstoffen,Bundesministerium der Verteidigung,534011413.0
788,6,25,11902,18857350.0,Erstattung der Bundesbank für den Objektschutz durch die Bundespolizei,Bundesministerium des Innern und für Heimat,119020625,Bundesministerium des Innern und für Heimat zweifünfeinseinsneunnullzwei ,Bundesministerium des Innern und für Heimat zweifünfeinseinsneunnullzwei  Erstattung der Bundesbank für den Objektschutz durch die Bundespolizei,Bundesministerium des Innern und für Heimat,119020625.0
790,8,13,28601,18816277.19,Einnahmen aus Vereinbarungen von EU-Mitgliedstaaten mit Tabakkonzernen,Bundesministerium der Finanzen,286010813,Bundesministerium der Finanzen einsdreizweiachtsechsnulleins ,Bundesministerium der Finanzen einsdreizweiachtsechsnulleins  Einnahmen aus Vereinbarungen von EU-Mitgliedstaaten mit Tabakkonzernen,Bundesministerium der Finanzen,286010813.0
791,16,6,88293,18795946.87,Förderung von Investitionen in nationale Projekte des Städtebaus,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",882931606,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsechsachtachtzweineundrei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsechsachtachtzweineundrei  Förderung von Investitionen in nationale Projekte des Städtebaus",,
792,16,13,42201,18716466.43,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",422011613,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdreivierzweizweinulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",422011613.0
793,11,16,23603,18627112.54,Erstattung der Aufwendungen für die Prüfung der Kranken- und Pflegekassen,Bundesministerium für Arbeit und Soziales,236031116,Bundesministerium für Arbeit und Soziales einssechszweidreisechsnulldrei ,Bundesministerium für Arbeit und Soziales einssechszweidreisechsnulldrei  Erstattung der Aufwendungen für die Prüfung der Kranken- und Pflegekassen,Bundesministerium für Arbeit und Soziales,236031116.0
794,12,20,81202,18614255.34,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium für Digitales und Verkehr,812021220,Bundesministerium für Digitales und Verkehr zweinullachteinszweinullzwei ,"Bundesministerium für Digitales und Verkehr zweinullachteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium für Digitales und Verkehr,812021220.0
795,23,3,18604,18527492.67,Tilgungen von Darlehen im Rahmen der EWG-Assoziierungsabkommen - Jaunde I und II und Lomé,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,186042303,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreieinsachtsechsnullvier ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreieinsachtsechsnullvier  Tilgungen von Darlehen im Rahmen der EWG-Assoziierungsabkommen - Jaunde I und II und Lomé,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,186042303.0
797,11,12,42801,18439761.53,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Arbeit und Soziales,428011112,Bundesministerium für Arbeit und Soziales einszweivierzweiachtnulleins ,Bundesministerium für Arbeit und Soziales einszweivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Arbeit und Soziales,428011112.0
798,14,4,68741,18300000.0,Betrieb,Bundesministerium der Verteidigung,687411404,Bundesministerium der Verteidigung nullviersechsachtsiebenviereins ,Bundesministerium der Verteidigung nullviersechsachtsiebenviereins  Betrieb,Bundesministerium der Verteidigung,894111404.0
799,7,18,42201,18263312.07,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Justiz,422010718,Bundesministerium der Justiz einsachtvierzweizweinulleins ,Bundesministerium der Justiz einsachtvierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium der Justiz,422010718.0
800,12,3,52105,18038228.92,"Aufwendungen für Planungs-, Prüfungs- und Bauüberwachungsaufgaben",Bundesministerium für Digitales und Verkehr,521051203,Bundesministerium für Digitales und Verkehr nulldreifünfzweieinsnullfünf ,"Bundesministerium für Digitales und Verkehr nulldreifünfzweieinsnullfünf  Aufwendungen für Planungs-, Prüfungs- und Bauüberwachungsaufgaben",Bundesministerium für Digitales und Verkehr,521051203.0
801,12,11,44101,17955315.25,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium für Digitales und Verkehr,441011211,Bundesministerium für Digitales und Verkehr einseinsvierviereinsnulleins ,Bundesministerium für Digitales und Verkehr einseinsvierviereinsnulleins  Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium für Digitales und Verkehr,441011211.0
803,7,11,44657,17808034.91,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Justiz,446570711,Bundesministerium der Justiz einseinsvierviersechsfünfsieben ,Bundesministerium der Justiz einseinsvierviersechsfünfsieben  Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Justiz,446570711.0
804,23,11,43257,17740189.34,Versorgungsbezüge,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,432572311,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einseinsvierdreizweifünfsieben ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einseinsvierdreizweifünfsieben  Versorgungsbezüge,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,432572311.0
807,12,11,63403,17586747.28,Zuweisungen an den Versorgungsfonds,Bundesministerium für Digitales und Verkehr,634031211,Bundesministerium für Digitales und Verkehr einseinssechsdreiviernulldrei ,Bundesministerium für Digitales und Verkehr einseinssechsdreiviernulldrei  Zuweisungen an den Versorgungsfonds,Bundesministerium für Digitales und Verkehr,634031211.0
810,9,1,68501,17321508.45,Technologie- und Innovationstransfer,Bundesministerium für Wirtschaft und Klimaschutz,685010901,Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtfünfnulleins ,Bundesministerium für Wirtschaft und Klimaschutz nulleinssechsachtfünfnulleins  Technologie- und Innovationstransfer,Bundesministerium für Wirtschaft und Klimaschutz,685010901.0
812,12,10,89101,17133023.82,Baukostenzuschüsse für Investitionen in die Schienenwege der nicht bundeseigenen Eisenbahnen,Bundesministerium für Digitales und Verkehr,891011210,Bundesministerium für Digitales und Verkehr einsnullachtneuneinsnulleins ,Bundesministerium für Digitales und Verkehr einsnullachtneuneinsnulleins  Baukostenzuschüsse für Investitionen in die Schienenwege der nicht bundeseigenen Eisenbahnen,Bundesministerium für Digitales und Verkehr,891141210.0
813,4,13,68401,17021725.39,Unterstützung von Flüchtlingsprojekten,Bundeskanzler und Bundeskanzleramt,684010413,Bundeskanzler und Bundeskanzleramt einsdreisechsachtviernulleins ,Bundeskanzler und Bundeskanzleramt einsdreisechsachtviernulleins  Unterstützung von Flüchtlingsprojekten,Bundeskanzler und Bundeskanzleramt,684010413.0
814,6,25,81202,16993375.96,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium des Innern und für Heimat,812020625,Bundesministerium des Innern und für Heimat zweifünfachteinszweinullzwei ,"Bundesministerium des Innern und für Heimat zweifünfachteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium des Innern und für Heimat,812020625.0
815,12,1,74521,16980150.84,Maßnahmen nach dem Eisenbahnkreuzungsgesetz (EKrG) (Bundesstraßen),Bundesministerium für Digitales und Verkehr,745211201,Bundesministerium für Digitales und Verkehr nulleinssiebenvierfünfzweieins ,Bundesministerium für Digitales und Verkehr nulleinssiebenvierfünfzweieins  Maßnahmen nach dem Eisenbahnkreuzungsgesetz (EKrG) (Bundesstraßen),Bundesministerium für Digitales und Verkehr,745211201.0
816,14,1,68704,16889632.6,Beiträge zum NATO Pipeline System,Bundesministerium der Verteidigung,687041401,Bundesministerium der Verteidigung nulleinssechsachtsiebennullvier ,Bundesministerium der Verteidigung nulleinssechsachtsiebennullvier  Beiträge zum NATO Pipeline System,Bundesministerium der Verteidigung,687041401.0
817,16,2,13204,16864152.87,Erlöse aus der Veräußerung von Emissionsberechtigungen zur Refinanzierung der Deutschen Emissionshandelsstelle,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",132041602,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullzweieinsdreizweinullvier ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullzweieinsdreizweinullvier  Erlöse aus der Veräußerung von Emissionsberechtigungen zur Refinanzierung der Deutschen Emissionshandelsstelle","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",132021601.0
818,4,31,54201,16857903.97,Öffentlichkeitsarbeit,Bundeskanzler und Bundeskanzleramt,542010431,Bundeskanzler und Bundeskanzleramt dreieinsfünfvierzweinulleins ,Bundeskanzler und Bundeskanzleramt dreieinsfünfvierzweinulleins  Öffentlichkeitsarbeit,Bundeskanzler und Bundeskanzleramt,542010431.0
820,4,52,89491,16715000.0,"Zuschuss für Investitionen der Rundfunkanstalt ""Deutsche Welle""",Bundeskanzler und Bundeskanzleramt,894910452,Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierneuneins ,"Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierneuneins  Zuschuss für Investitionen der Rundfunkanstalt ""Deutsche Welle""",Bundeskanzler und Bundeskanzleramt,894910452.0
821,5,2,54622,16692545.03,Deutschlandbild im Ausland,Auswärtiges Amt,546220502,Auswärtiges Amt nullzweifünfviersechszweizwei ,Auswärtiges Amt nullzweifünfviersechszweizwei  Deutschlandbild im Ausland,Auswärtiges Amt,546110504.0
826,14,13,38101,16481678.9,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,Bundesministerium der Verteidigung,381011413,Bundesministerium der Verteidigung einsdreidreiachteinsnulleins ,Bundesministerium der Verteidigung einsdreidreiachteinsnulleins  Leistungen von Bundesbehörden zur Durchführung von Aufträgen,Bundesministerium der Verteidigung,381011413.0
827,8,13,45301,16471166.66,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Bundesministerium der Finanzen,453010813,Bundesministerium der Finanzen einsdreivierfünfdreinulleins ,"Bundesministerium der Finanzen einsdreivierfünfdreinulleins  Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Bundesministerium der Finanzen,453010813.0
828,9,11,98107,16470868.07,Leistungen an Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben,Bundesministerium für Wirtschaft und Klimaschutz,981070911,Bundesministerium für Wirtschaft und Klimaschutz einseinsneunachteinsnullsieben ,Bundesministerium für Wirtschaft und Klimaschutz einseinsneunachteinsnullsieben  Leistungen an Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben,Bundesministerium für Wirtschaft und Klimaschutz,981070911.0
829,5,11,44101,16276797.63,Beihilfen aufgrund der Beihilfevorschriften,Auswärtiges Amt,441010511,Auswärtiges Amt einseinsvierviereinsnulleins ,Auswärtiges Amt einseinsvierviereinsnulleins  Beihilfen aufgrund der Beihilfevorschriften,Auswärtiges Amt,441010511.0
830,4,12,42801,16213708.03,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundeskanzler und Bundeskanzleramt,428010412,Bundeskanzler und Bundeskanzleramt einszweivierzweiachtnulleins ,Bundeskanzler und Bundeskanzleramt einszweivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundeskanzler und Bundeskanzleramt,428010412.0
831,4,52,89431,16161000.0,Zuschüsse für Investitionen,Bundeskanzler und Bundeskanzleramt,894310452,Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierdreieins ,Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierdreieins  Zuschüsse für Investitionen,Bundeskanzler und Bundeskanzleramt,894310452.0
832,4,53,42801,16158679.75,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundeskanzler und Bundeskanzleramt,428010453,Bundeskanzler und Bundeskanzleramt fünfdreivierzweiachtnulleins ,Bundeskanzler und Bundeskanzleramt fünfdreivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundeskanzler und Bundeskanzleramt,428010453.0
833,12,1,12231,16140522.62,Konzessionsabgabe,Bundesministerium für Digitales und Verkehr,122311201,Bundesministerium für Digitales und Verkehr nulleinseinszweizweidreieins ,Bundesministerium für Digitales und Verkehr nulleinseinszweizweidreieins  Konzessionsabgabe,Bundesministerium für Digitales und Verkehr,122311201.0
834,12,1,81222,16115467.06,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium für Digitales und Verkehr,812221201,Bundesministerium für Digitales und Verkehr nulleinsachteinszweizweizwei ,"Bundesministerium für Digitales und Verkehr nulleinsachteinszweizweizwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium für Digitales und Verkehr,812221201.0
835,6,24,68501,16111708.26,Zuschüsse für Projekte aus dem Fonds für Innere Sicherheit (ISF Sicherheit) der Europäischen Union,Bundesministerium des Innern und für Heimat,685010624,Bundesministerium des Innern und für Heimat zweiviersechsachtfünfnulleins ,Bundesministerium des Innern und für Heimat zweiviersechsachtfünfnulleins  Zuschüsse für Projekte aus dem Fonds für Innere Sicherheit (ISF Sicherheit) der Europäischen Union,Bundesministerium des Innern und für Heimat,685010624.0
836,30,4,89472,16098000.0,Berliner Institut für Gesundheitsforschung (BIG) - Investitionen,Bundesministerium für Bildung und Forschung,894723004,Bundesministerium für Bildung und Forschung nullvierachtneunviersiebenzwei ,Bundesministerium für Bildung und Forschung nullvierachtneunviersiebenzwei  Berliner Institut für Gesundheitsforschung (BIG) - Investitionen,Bundesministerium für Bildung und Forschung,894723004.0
837,23,12,42801,16047364.16,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,428012312,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einszweivierzweiachtnulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einszweivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,428012312.0
838,11,3,63611,16036264.57,Heil- und Krankenbehandlung für Berechtigte nach dem BVG,Bundesministerium für Arbeit und Soziales,636111103,Bundesministerium für Arbeit und Soziales nulldreisechsdreisechseinseins ,Bundesministerium für Arbeit und Soziales nulldreisechsdreisechseinseins  Heil- und Krankenbehandlung für Berechtigte nach dem BVG,Bundesministerium für Arbeit und Soziales,636111103.0
841,14,5,55403,15955629.76,Beschaffung von Bekleidung,Bundesministerium der Verteidigung,554031405,Bundesministerium der Verteidigung nullfünffünffünfviernulldrei ,Bundesministerium der Verteidigung nullfünffünffünfviernulldrei  Beschaffung von Bekleidung,Bundesministerium der Verteidigung,554031405.0
842,7,18,42801,15867771.69,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Justiz,428010718,Bundesministerium der Justiz einsachtvierzweiachtnulleins ,Bundesministerium der Justiz einsachtvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Justiz,428010718.0
843,6,1,88221,15809926.61,"Zuwendungen für die Errichtung, Ausstattung und Bauunterhaltung von Sportstätten für den Hochleistungssport",Bundesministerium des Innern und für Heimat,882210601,Bundesministerium des Innern und für Heimat nulleinsachtachtzweizweieins ,"Bundesministerium des Innern und für Heimat nulleinsachtachtzweizweieins  Zuwendungen für die Errichtung, Ausstattung und Bauunterhaltung von Sportstätten für den Hochleistungssport",Bundesministerium des Innern und für Heimat,882210601.0
845,23,3,68704,15717000.0,Zahlungen an den Internationalen Fonds für landwirtschaftliche Entwicklung (IFAD) und an dessen Sonderprogramm für Subsahara-Afrika,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687042303,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreisechsachtsiebennullvier ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreisechsachtsiebennullvier  Zahlungen an den Internationalen Fonds für landwirtschaftliche Entwicklung (IFAD) und an dessen Sonderprogramm für Subsahara-Afrika,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,687042303.0
846,6,28,81281,15604650.83,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)",Bundesministerium des Innern und für Heimat,812810628,Bundesministerium des Innern und für Heimat zweiachtachteinszweiachteins ,"Bundesministerium des Innern und für Heimat zweiachtachteinszweiachteins  Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)",Bundesministerium des Innern und für Heimat,812010622.0
847,6,1,68422,15600000.0,Projektförderung für Sporteinrichtungen,Bundesministerium des Innern und für Heimat,684220601,Bundesministerium des Innern und für Heimat nulleinssechsachtvierzweizwei ,Bundesministerium des Innern und für Heimat nulleinssechsachtvierzweizwei  Projektförderung für Sporteinrichtungen,Bundesministerium des Innern und für Heimat,684220601.0
