,index,Epl.,Kap.,Tit.,Ist 2020,Zweckbestimmung,ministries,2020 id,id_nlp_help,id_nlp,2020 Zweck,id
1126,1884,8,16,51801,11113520.88,Mieten und Pachten,Bundesministerium der Finanzen,518010816,Bundesministerium der Finanzen einssechsfünfeinsachtnulleins ,Bundesministerium der Finanzen einssechsfünfeinsachtnulleins  Mieten und Pachten,Mieten und Pachten,518010816.0
1127,1586,7,15,42201,11100064.3,"Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Beamtinnen und Beamten",Bundesministerium der Justiz,422010715,Bundesministerium der Justiz einsfünfvierzweizweinulleins ,"Bundesministerium der Justiz einsfünfvierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Beamtinnen und Beamten","Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Beamtinnen und Beamten",422010715.0
1129,4659,21,12,42201,11053472.34,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,422012112,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit einszweivierzweizweinulleins ,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit einszweivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422012112.0
1130,2346,10,6,68704,11052535.88,Zusammenarbeit mit der FAO und anderen internationalen Organisationen im Agrar- und Ernährungsbereich,Bundesministerium für Ernährung und Landwirtschaft,687041006,Bundesministerium für Ernährung und Landwirtschaft nullsechssechsachtsiebennullvier ,Bundesministerium für Ernährung und Landwirtschaft nullsechssechsachtsiebennullvier  Zusammenarbeit mit der FAO und anderen internationalen Organisationen im Agrar- und Ernährungsbereich,Zusammenarbeit mit der FAO und anderen internationalen Organisationen im Agrar- und Ernährungsbereich,687041006.0
1131,3626,14,1,55341,11029155.47,Beitrag zu den Kosten für Materialerhaltung und Betrieb,Bundesministerium der Verteidigung,553411401,Bundesministerium der Verteidigung nulleinsfünffünfdreiviereins ,Bundesministerium der Verteidigung nulleinsfünffünfdreiviereins  Beitrag zu den Kosten für Materialerhaltung und Betrieb,Beitrag zu den Kosten für Materialerhaltung und Betrieb,553411401.0
1133,3155,12,10,89181,10980177.51,Hardware-Nachrüstung von Dieselbussen des Öffentlichen Personennahverkehrs,Bundesministerium für Digitales und Verkehr,891811210,Bundesministerium für Digitales und Verkehr einsnullachtneuneinsachteins ,Bundesministerium für Digitales und Verkehr einsnullachtneuneinsachteins  Hardware-Nachrüstung von Dieselbussen des Öffentlichen Personennahverkehrs,,
1134,3887,14,13,54781,10962760.18,Nicht aufteilbare sächliche Verwaltungsausgaben,Bundesministerium der Verteidigung,547811413,Bundesministerium der Verteidigung einsdreifünfviersiebenachteins ,Bundesministerium der Verteidigung einsdreifünfviersiebenachteins  Nicht aufteilbare sächliche Verwaltungsausgaben,Nicht aufteilbare sächliche Verwaltungsausgaben,547811413.0
1136,1667,7,19,51101,10908340.45,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",Bundesministerium der Justiz,511010719,Bundesministerium der Justiz einsneunfünfeinseinsnulleins ,"Bundesministerium der Justiz einsneunfünfeinseinsnulleins  Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung","Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",511010719.0
1138,3701,14,4,55119,10873741.39,Taktisches Luftverteidigungssystem,Bundesministerium der Verteidigung,551191404,Bundesministerium der Verteidigung nullvierfünffünfeinseinsneun ,Bundesministerium der Verteidigung nullvierfünffünfeinseinsneun  Taktisches Luftverteidigungssystem,Investitionen,894111404.0
1139,4373,16,16,54711,10871345.3,Nicht aufteilbare sächliche Verwaltungsausgaben,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",547111616,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einssechsfünfviersiebeneinseins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einssechsfünfviersiebeneinseins  Nicht aufteilbare sächliche Verwaltungsausgaben",Nicht aufteilbare sächliche Verwaltungsausgaben,547111616.0
1140,1387,6,29,53909,10858027.19,Vermischte Verwaltungsausgaben,Bundesministerium des Innern und für Heimat,539090629,Bundesministerium des Innern und für Heimat zweineunfünfdreineunnullneun ,Bundesministerium des Innern und für Heimat zweineunfünfdreineunnullneun  Vermischte Verwaltungsausgaben,Vermischte Verwaltungsausgaben,539090629.0
1141,2676,11,6,27204,10852196.04,Einnahmen aus Zuschüssen des Europäischen Hilfsfonds für die am stärksten benachteiligten Personen,Bundesministerium für Arbeit und Soziales,272041106,Bundesministerium für Arbeit und Soziales nullsechszweisiebenzweinullvier ,Bundesministerium für Arbeit und Soziales nullsechszweisiebenzweinullvier  Einnahmen aus Zuschüssen des Europäischen Hilfsfonds für die am stärksten benachteiligten Personen,Einnahmen aus Zuschüssen des Europäischen Hilfsfonds für die am stärksten benachteiligten Personen,272041106.0
1142,4292,16,13,42709,10849222.2,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",427091613,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdreivierzweisiebennullneun ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdreivierzweisiebennullneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige","Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",427091613.0
1143,2780,11,13,51802,10838011.56,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Arbeit und Soziales,518021113,Bundesministerium für Arbeit und Soziales einsdreifünfeinsachtnullzwei ,Bundesministerium für Arbeit und Soziales einsdreifünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518021113.0
1144,2325,10,5,89321,10835750.0,Zuschuss an das Deutsche Biomasseforschungszentrum - Investitionen -,Bundesministerium für Ernährung und Landwirtschaft,893211005,Bundesministerium für Ernährung und Landwirtschaft nullfünfachtneundreizweieins ,Bundesministerium für Ernährung und Landwirtschaft nullfünfachtneundreizweieins  Zuschuss an das Deutsche Biomasseforschungszentrum - Investitionen -,Zuschuss an das Deutsche Biomasseforschungszentrum - Investitionen -,893211005.0
1145,1224,6,24,27201,10802119.59,Zuschüsse der Europäischen Union,Bundesministerium des Innern und für Heimat,272010624,Bundesministerium des Innern und für Heimat zweivierzweisiebenzweinulleins ,Bundesministerium des Innern und für Heimat zweivierzweisiebenzweinulleins  Zuschüsse der Europäischen Union,Zuschüsse der Europäischen Union,272010624.0
1146,3949,15,11,54709,10795680.07,"Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden",Bundesministerium für Gesundheit,547091511,Bundesministerium für Gesundheit einseinsfünfviersiebennullneun ,"Bundesministerium für Gesundheit einseinsfünfviersiebennullneun  Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden","Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden",547091511.0
1147,4945,60,1,3302,10764084.55,Alkopopsteuer,Allgemeine Finanzverwaltung,33026001,Allgemeine Finanzverwaltung nulleinsnulldreidreinullzwei ,Allgemeine Finanzverwaltung nulleinsnulldreidreinullzwei  Alkopopsteuer,Alkopopsteuer,33026001.0
1150,2311,10,4,67103,10749482.52,Erstattung der Kosten für Maßnahmen im Fischereisektor,Bundesministerium für Ernährung und Landwirtschaft,671031004,Bundesministerium für Ernährung und Landwirtschaft nullviersechssiebeneinsnulldrei ,Bundesministerium für Ernährung und Landwirtschaft nullviersechssiebeneinsnulldrei  Erstattung der Kosten für Maßnahmen im Fischereisektor,Erstattung der Kosten für Maßnahmen im Fischereisektor,671031004.0
1151,347,4,52,68514,10737000.0,Provenienzrecherche und -forschung insbesondere zu NS-Raubkunst und Umsetzung der Washingtoner Prinzipien,Bundeskanzler und Bundeskanzleramt,685140452,Bundeskanzler und Bundeskanzleramt fünfzweisechsachtfünfeinsvier ,Bundeskanzler und Bundeskanzleramt fünfzweisechsachtfünfeinsvier  Provenienzrecherche und -forschung insbesondere zu NS-Raubkunst und Umsetzung der Washingtoner Prinzipien,Provenienzrecherche und -forschung insbesondere zu NS-Raubkunst und Umsetzung der Washingtoner Prinzipien,685140452.0
1152,4788,30,2,68771,10734856.33,Beiträge zu laufenden Kosten Europäischer Schulen,Bundesministerium für Bildung und Forschung,687713002,Bundesministerium für Bildung und Forschung nullzweisechsachtsiebensiebeneins ,Bundesministerium für Bildung und Forschung nullzweisechsachtsiebensiebeneins  Beiträge zu laufenden Kosten Europäischer Schulen,Beiträge zu laufenden Kosten Europäischer Schulen,687713002.0
1154,809,6,3,68403,10717314.71,Zuwendungen für Suchdienstaufgaben und für die Bearbeitung von Unterlagen zur Familienzusammenführung und Aussiedlung von Deutschen,Bundesministerium des Innern und für Heimat,684030603,Bundesministerium des Innern und für Heimat nulldreisechsachtviernulldrei ,Bundesministerium des Innern und für Heimat nulldreisechsachtviernulldrei  Zuwendungen für Suchdienstaufgaben und für die Bearbeitung von Unterlagen zur Familienzusammenführung und Aussiedlung von Deutschen,Zuwendungen für Suchdienstaufgaben und für die Bearbeitung von Unterlagen zur Familienzusammenführung und Aussiedlung von Deutschen,684030603.0
1156,2025,9,12,51701,10652928.23,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium für Wirtschaft und Klimaschutz,517010912,Bundesministerium für Wirtschaft und Klimaschutz einszweifünfeinssiebennulleins ,"Bundesministerium für Wirtschaft und Klimaschutz einszweifünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume","Bewirtschaftung der Grundstücke, Gebäude und Räume",517010912.0
1157,1741,8,10,66324,10594655.15,Zuschüsse zur Deckung laufender Aufwendungen,Bundesministerium der Finanzen,663240810,Bundesministerium der Finanzen einsnullsechssechsdreizweivier ,Bundesministerium der Finanzen einsnullsechssechsdreizweivier  Zuschüsse zur Deckung laufender Aufwendungen,Einnahmen aus Veröffentlichungen,119010813.0
1158,478,4,55,51802,10590351.48,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundeskanzler und Bundeskanzleramt,518020455,Bundeskanzler und Bundeskanzleramt fünffünffünfeinsachtnullzwei ,Bundeskanzler und Bundeskanzleramt fünffünffünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518020452.0
1160,3752,14,7,53402,10549808.85,Gebühren für die Benutzung ziviler Flugplätze,Bundesministerium der Verteidigung,534021407,Bundesministerium der Verteidigung nullsiebenfünfdreiviernullzwei ,Bundesministerium der Verteidigung nullsiebenfünfdreiviernullzwei  Gebühren für die Benutzung ziviler Flugplätze,Gebühren für die Benutzung ziviler Flugplätze,534021407.0
1161,2936,12,1,88302,10539000.0,Zuweisungen an kommunale Baulastträger nach § 5a Bundesfernstraßengesetz (FStrG),Bundesministerium für Digitales und Verkehr,883021201,Bundesministerium für Digitales und Verkehr nulleinsachtachtdreinullzwei ,Bundesministerium für Digitales und Verkehr nulleinsachtachtdreinullzwei  Zuweisungen an kommunale Baulastträger nach § 5a Bundesfernstraßengesetz (FStrG),"Bestandserfassung der Bundesfernstraßen, Koordinierung und Steuerung der Fachinformationssysteme im Straßenwesen",535021201.0
1163,3932,15,4,68606,10487862.19,"Förderprogramm für experimentelle Pilotprojekte zur Entwicklung und Testung von Versorgungs- und Ausbildungsmodellen für Gesundheitsversorgung, Rehabilitation und Pflege",Bundesministerium für Gesundheit,686061504,Bundesministerium für Gesundheit nullviersechsachtsechsnullsechs ,"Bundesministerium für Gesundheit nullviersechsachtsechsnullsechs  Förderprogramm für experimentelle Pilotprojekte zur Entwicklung und Testung von Versorgungs- und Ausbildungsmodellen für Gesundheitsversorgung, Rehabilitation und Pflege","Experimentelle Pilotprojekte zur Entwicklung und Testung von Versorgungs- und Ausbildungsmodellen für Gesundheitsversorgung, Rehabilitation und Pflege",686061504.0
1165,599,5,11,42401,10446287.9,Zuführung an die Versorgungsrücklage,Auswärtiges Amt,424010511,Auswärtiges Amt einseinsvierzweiviernulleins ,Auswärtiges Amt einseinsvierzweiviernulleins  Zuführung an die Versorgungsrücklage,Zuführung an die Versorgungsrücklage,424010511.0
1166,4187,16,1,68504,10422111.18,Zuschüsse an Verbände und sonstige Vereinigungen auf den Gebieten des Umweltschutzes und des Naturschutzes,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",685041601,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinssechsachtfünfnullvier ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinssechsachtfünfnullvier  Zuschüsse an Verbände und sonstige Vereinigungen auf den Gebieten des Umweltschutzes und des Naturschutzes",Zuschüsse an Verbände und sonstige Vereinigungen auf den Gebieten des Umweltschutzes und des Naturschutzes,685041601.0
1167,3443,12,19,42201,10417659.49,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Digitales und Verkehr,422011219,Bundesministerium für Digitales und Verkehr einsneunvierzweizweinulleins ,Bundesministerium für Digitales und Verkehr einsneunvierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422011219.0
1168,3910,15,3,53103,10408810.35,Aufklärungsmaßnahmen auf dem Gebiet des Drogen- und Suchtmittelmissbrauchs,Bundesministerium für Gesundheit,531031503,Bundesministerium für Gesundheit nulldreifünfdreieinsnulldrei ,Bundesministerium für Gesundheit nulldreifünfdreieinsnulldrei  Aufklärungsmaßnahmen auf dem Gebiet des Drogen- und Suchtmittelmissbrauchs,Aufklärungsmaßnahmen auf dem Gebiet des Drogen- und Suchtmittelmissbrauchs,531031503.0
1169,1769,8,11,52601,10396226.8,Gerichts- und ähnliche Kosten,Bundesministerium der Finanzen,526010811,Bundesministerium der Finanzen einseinsfünfzweisechsnulleins ,Bundesministerium der Finanzen einseinsfünfzweisechsnulleins  Gerichts- und ähnliche Kosten,Gerichts- und ähnliche Kosten,526010811.0
1170,2931,12,1,53502,10348675.16,"Bestandserfassung der Bundesfernstraßen, Koordinierung und Steuerung der Fachinformationssysteme im Straßenwesen",Bundesministerium für Digitales und Verkehr,535021201,Bundesministerium für Digitales und Verkehr nulleinsfünfdreifünfnullzwei ,"Bundesministerium für Digitales und Verkehr nulleinsfünfdreifünfnullzwei  Bestandserfassung der Bundesfernstraßen, Koordinierung und Steuerung der Fachinformationssysteme im Straßenwesen",Unterhaltung und Betrieb des Kommunikationsnetzes der Wasserstraßen- und Schifffahrtsverwaltung,521031203.0
1171,2281,10,1,63603,10335916.16,Zuschüsse zur Gewährung einer Rente an Kleinlandwirte bei Landabgabe (Landabgaberente),Bundesministerium für Ernährung und Landwirtschaft,636031001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulldrei ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulldrei  Zuschüsse zur Gewährung einer Rente an Kleinlandwirte bei Landabgabe (Landabgaberente),Zuschüsse zur Gewährung einer Rente an Kleinlandwirte bei Landabgabe (Landabgaberente),636031001.0
1172,3461,12,20,11101,10255911.82,"Gebühren, sonstige Entgelte",Bundesministerium für Digitales und Verkehr,111011220,Bundesministerium für Digitales und Verkehr zweinulleinseinseinsnulleins ,"Bundesministerium für Digitales und Verkehr zweinulleinseinseinsnulleins  Gebühren, sonstige Entgelte","Gebühren, sonstige Entgelte",111011220.0
1173,2995,12,1,81121,10242691.69,Erwerb von Fahrzeugen,Bundesministerium für Digitales und Verkehr,811211201,Bundesministerium für Digitales und Verkehr nulleinsachteinseinszweieins ,Bundesministerium für Digitales und Verkehr nulleinsachteinseinszweieins  Erwerb von Fahrzeugen,Erwerb von Fahrzeugen,811211201.0
1174,2556,10,17,11101,10241613.72,"Gebühren, sonstige Entgelte",Bundesministerium für Ernährung und Landwirtschaft,111011017,Bundesministerium für Ernährung und Landwirtschaft einssiebeneinseinseinsnulleins ,"Bundesministerium für Ernährung und Landwirtschaft einssiebeneinseinseinsnulleins  Gebühren, sonstige Entgelte","Gebühren, sonstige Entgelte",111011017.0
1175,1847,8,15,11201,10239181.61,"Geldstrafen, Geldbußen und Gerichtskosten",Bundesministerium der Finanzen,112010815,Bundesministerium der Finanzen einsfünfeinseinszweinulleins ,"Bundesministerium der Finanzen einsfünfeinseinszweinulleins  Geldstrafen, Geldbußen und Gerichtskosten","Geldstrafen, Geldbußen und Gerichtskosten",112010815.0
1176,3727,14,6,38101,10189408.8,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,Bundesministerium der Verteidigung,381011406,Bundesministerium der Verteidigung nullsechsdreiachteinsnulleins ,Bundesministerium der Verteidigung nullsechsdreiachteinsnulleins  Leistungen von Bundesbehörden zur Durchführung von Aufträgen,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,381011406.0
1177,2785,11,13,42201,10181681.3,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Arbeit und Soziales,422011113,Bundesministerium für Arbeit und Soziales einsdreivierzweizweinulleins ,Bundesministerium für Arbeit und Soziales einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422011113.0
1179,728,6,1,89412,10142305.23,Zuschüsse für Investitionen an öffentliche Einrichtungen zur gesellschaftspolitischen und demokratischen Bildungsarbeit,Bundesministerium des Innern und für Heimat,894120601,Bundesministerium des Innern und für Heimat nulleinsachtneunviereinszwei ,Bundesministerium des Innern und für Heimat nulleinsachtneunviereinszwei  Zuschüsse für Investitionen an öffentliche Einrichtungen zur gesellschaftspolitischen und demokratischen Bildungsarbeit,Zuschüsse für Investitionen an öffentliche Einrichtungen zur gesellschaftspolitischen und demokratischen Bildungsarbeit,894120601.0
1180,4152,15,17,51802,10132671.93,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Gesundheit,518021517,Bundesministerium für Gesundheit einssiebenfünfeinsachtnullzwei ,Bundesministerium für Gesundheit einssiebenfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518021517.0
1181,3224,12,13,42201,10122080.1,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Digitales und Verkehr,422011213,Bundesministerium für Digitales und Verkehr einsdreivierzweizweinulleins ,Bundesministerium für Digitales und Verkehr einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422011213.0
1182,1452,6,35,68601,10092593.36,Förderung von Projekten für demokratische Teilhabe und gegen Extremismus,Bundesministerium des Innern und für Heimat,686010635,Bundesministerium des Innern und für Heimat dreifünfsechsachtsechsnulleins ,Bundesministerium des Innern und für Heimat dreifünfsechsachtsechsnulleins  Förderung von Projekten für demokratische Teilhabe und gegen Extremismus,Förderung von Projekten für demokratische Teilhabe und gegen Extremismus,686010635.0
1183,4226,16,4,89302,10091204.06,Wildnisfonds,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",893021604,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullvierachtneundreinullzwei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullvierachtneundreinullzwei  Wildnisfonds","Forschung, Untersuchungen und Ähnliches",544011608.0
1184,885,6,4,63271,10087362.0,Zweckgebundene Zuweisungen an die Länder für Mitgliedseinrichtungen der Wissenschaftsgemeinschaft Gottfried Wilhelm Leibniz e. V. (WGL),Bundesministerium des Innern und für Heimat,632710604,Bundesministerium des Innern und für Heimat nullviersechsdreizweisiebeneins ,Bundesministerium des Innern und für Heimat nullviersechsdreizweisiebeneins  Zweckgebundene Zuweisungen an die Länder für Mitgliedseinrichtungen der Wissenschaftsgemeinschaft Gottfried Wilhelm Leibniz e. V. (WGL),Zweckgebundene Zuweisungen an die Länder für Mitgliedseinrichtungen der Wissenschaftsgemeinschaft Gottfried Wilhelm Leibniz e. V. (WGL),632011107.0
1185,2271,9,18,53201,10058249.76,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium für Wirtschaft und Klimaschutz,532010918,Bundesministerium für Wirtschaft und Klimaschutz einsachtfünfdreizweinulleins ,Bundesministerium für Wirtschaft und Klimaschutz einsachtfünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik,Aufträge und Dienstleistungen im Bereich Informationstechnik,532010918.0
1186,4165,15,17,51701,10046666.75,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium für Gesundheit,517011517,Bundesministerium für Gesundheit einssiebenfünfeinssiebennulleins ,"Bundesministerium für Gesundheit einssiebenfünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume","Bewirtschaftung der Grundstücke, Gebäude und Räume",517011517.0
1188,4787,30,2,51872,10011008.31,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Bildung und Forschung,518723002,Bundesministerium für Bildung und Forschung nullzweifünfeinsachtsiebenzwei ,Bundesministerium für Bildung und Forschung nullzweifünfeinsachtsiebenzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518723002.0
1190,376,4,52,68534,10000000.0,Digitale Strategien für deutsche Museen,Bundeskanzler und Bundeskanzleramt,685340452,Bundeskanzler und Bundeskanzleramt fünfzweisechsachtfünfdreivier ,Bundeskanzler und Bundeskanzleramt fünfzweisechsachtfünfdreivier  Digitale Strategien für deutsche Museen,,
1191,3702,14,4,98101,9980710.67,Leistungen an Bundesbehörden zur Durchführung von Aufträgen,Bundesministerium der Verteidigung,981011404,Bundesministerium der Verteidigung nullvierneunachteinsnulleins ,Bundesministerium der Verteidigung nullvierneunachteinsnulleins  Leistungen an Bundesbehörden zur Durchführung von Aufträgen,Leistungen an Bundesbehörden zur Durchführung von Aufträgen,981011404.0
1192,79,2,12,41104,9969787.1,"Zuschuss zu den Kosten in Krankheits-, Pflege- und Geburtsfällen sowie Unterstützungen nach §§ 27 und 28 Abgeordnetengesetz",Deutscher Bundestag,411040212,Deutscher Bundestag einszweiviereinseinsnullvier ,"Deutscher Bundestag einszweiviereinseinsnullvier  Zuschuss zu den Kosten in Krankheits-, Pflege- und Geburtsfällen sowie Unterstützungen nach §§ 27 und 28 Abgeordnetengesetz","Zuschuss zu den Kosten in Krankheits-, Pflege- und Geburtsfällen sowie Unterstützungen nach §§ 27 und 28 Abgeordnetengesetz",411040212.0
1193,929,6,11,63257,9950465.53,Erstattungen des Bundes für Versorgungslasten,Bundesministerium des Innern und für Heimat,632570611,Bundesministerium des Innern und für Heimat einseinssechsdreizweifünfsieben ,Bundesministerium des Innern und für Heimat einseinssechsdreizweifünfsieben  Erstattungen des Bundes für Versorgungslasten,Erstattungen des Bundes für Versorgungslasten,632570611.0
1194,379,4,52,89434,9949000.0,"Zuschüsse zur Errichtung des Museums ""Neue Nationalgalerie - Museum des 20. Jahrhunderts""",Bundeskanzler und Bundeskanzleramt,894340452,Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierdreivier ,"Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierdreivier  Zuschüsse zur Errichtung des Museums ""Neue Nationalgalerie - Museum des 20. Jahrhunderts""","Zuschüsse zur Errichtung des Museums ""Neue Nationalgalerie - Museum des 20. Jahrhunderts""",894340452.0
1195,3411,12,19,11101,9936181.93,"Gebühren, sonstige Entgelte",Bundesministerium für Digitales und Verkehr,111011219,Bundesministerium für Digitales und Verkehr einsneuneinseinseinsnulleins ,"Bundesministerium für Digitales und Verkehr einsneuneinseinseinsnulleins  Gebühren, sonstige Entgelte","Gebühren, sonstige Entgelte",111011219.0
1196,3186,12,11,53201,9935144.36,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium für Digitales und Verkehr,532011211,Bundesministerium für Digitales und Verkehr einseinsfünfdreizweinulleins ,Bundesministerium für Digitales und Verkehr einseinsfünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik,Aufträge und Dienstleistungen im Bereich Informationstechnik,532011211.0
1198,212,4,11,44657,9786476.11,Beihilfen aufgrund der Beihilfevorschriften,Bundeskanzler und Bundeskanzleramt,446570411,Bundeskanzler und Bundeskanzleramt einseinsvierviersechsfünfsieben ,Bundeskanzler und Bundeskanzleramt einseinsvierviersechsfünfsieben  Beihilfen aufgrund der Beihilfevorschriften,Beihilfen aufgrund der Beihilfevorschriften,446570411.0
1199,834,6,3,68750,9785000.0,Soziale und kulturelle Förderung der deutschen Volksgruppe in Nordschleswig/Dänemark,Bundesministerium des Innern und für Heimat,687500603,Bundesministerium des Innern und für Heimat nulldreisechsachtsiebenfünfnull ,Bundesministerium des Innern und für Heimat nulldreisechsachtsiebenfünfnull  Soziale und kulturelle Förderung der deutschen Volksgruppe in Nordschleswig/Dänemark,Soziale und kulturelle Förderung der deutschen Volksgruppe in Nordschleswig/Dänemark,687500603.0
1200,647,5,12,42222,9751891.29,Bezüge und Nebenleistungen der beamteten Hilfskräfte,Auswärtiges Amt,422220512,Auswärtiges Amt einszweivierzweizweizweizwei ,Auswärtiges Amt einszweivierzweizweizweizwei  Bezüge und Nebenleistungen der beamteten Hilfskräfte,Bezüge und Nebenleistungen der beamteten Hilfskräfte,422220512.0
1202,2956,12,1,74342,9746378.66,Baukostenzuschüsse des Europäischen Fonds für regionale Entwicklung der Verkehrsinfrastrukturvorhaben im Bereich der Bundesstraßen,Bundesministerium für Digitales und Verkehr,743421201,Bundesministerium für Digitales und Verkehr nulleinssiebenvierdreivierzwei ,Bundesministerium für Digitales und Verkehr nulleinssiebenvierdreivierzwei  Baukostenzuschüsse des Europäischen Fonds für regionale Entwicklung der Verkehrsinfrastrukturvorhaben im Bereich der Bundesstraßen,Koordinierung der euroregionalen Projekte der Europäischen Union im Rahmen der Transeuropäischen Verkehrsnetze im Bereich der Bundesfernstraßen,532041201.0
