,Epl.,Kap.,Tit.,Ist 2018,Zweckbestimmung,ministries,2018 id,id_nlp_help,id_nlp,2018 Zweck,id
1029,10,4,67103,11535984.77,Erstattung der Kosten für Maßnahmen im Fischereisektor,Bundesministerium für Ernährung und Landwirtschaft,671031004,Bundesministerium für Ernährung und Landwirtschaft nullviersechssiebeneinsnulldrei ,Bundesministerium für Ernährung und Landwirtschaft nullviersechssiebeneinsnulldrei  Erstattung der Kosten für Maßnahmen im Fischereisektor,Bundesministerium für Ernährung und Landwirtschaft,671031004.0
1030,17,2,68607,11511962.0,Beitrag zum Deutsch-Französischen Jugendwerk,"Bundesministerium für Familie, Senioren, Frauen und Jugend",686071702,"Bundesministerium für Familie, Senioren, Frauen und Jugend nullzweisechsachtsechsnullsieben ","Bundesministerium für Familie, Senioren, Frauen und Jugend nullzweisechsachtsechsnullsieben  Beitrag zum Deutsch-Französischen Jugendwerk","Bundesministerium für Familie, Senioren, Frauen und Jugend",686071702.0
1031,10,11,63403,11501516.21,Zuweisungen an den Versorgungsfonds,Bundesministerium für Ernährung und Landwirtschaft,634031011,Bundesministerium für Ernährung und Landwirtschaft einseinssechsdreiviernulldrei ,Bundesministerium für Ernährung und Landwirtschaft einseinssechsdreiviernulldrei  Zuweisungen an den Versorgungsfonds,Bundesministerium für Ernährung und Landwirtschaft,634031011.0
1034,6,2,68551,11442000.0,Zuschüsse an die Bundesanstalt für den Digitalfunk der Behörden und Organisationen mit Sicherheitsaufgaben für den Betrieb der Netze des Bundes,Bundesministerium des Innern und für Heimat,685510602,Bundesministerium des Innern und für Heimat nullzweisechsachtfünffünfeins ,Bundesministerium des Innern und für Heimat nullzweisechsachtfünffünfeins  Zuschüsse an die Bundesanstalt für den Digitalfunk der Behörden und Organisationen mit Sicherheitsaufgaben für den Betrieb der Netze des Bundes,Bundesministerium des Innern und für Heimat,685510602.0
1035,23,3,18604,11440002.89,Tilgungen von Darlehen im Rahmen der EWG-Assoziierungsabkommen - Jaunde I und II und Lomé,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,186042303,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreieinsachtsechsnullvier ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nulldreieinsachtsechsnullvier  Tilgungen von Darlehen im Rahmen der EWG-Assoziierungsabkommen - Jaunde I und II und Lomé,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,186042303.0
1036,11,4,63602,11435419.14,Verwaltungskostenerstattung des Bundes an die Künstlersozialkasse,Bundesministerium für Arbeit und Soziales,636021104,Bundesministerium für Arbeit und Soziales nullviersechsdreisechsnullzwei ,Bundesministerium für Arbeit und Soziales nullviersechsdreisechsnullzwei  Verwaltungskostenerstattung des Bundes an die Künstlersozialkasse,Bundesministerium für Arbeit und Soziales,636021104.0
1037,14,8,98103,11389991.19,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7,Bundesministerium der Verteidigung,981031408,Bundesministerium der Verteidigung nullachtneunachteinsnulldrei ,Bundesministerium der Verteidigung nullachtneunachteinsnulldrei  Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7,Bundesministerium der Verteidigung,981031408.0
1038,12,19,81101,11376400.0,Erwerb von Fahrzeugen,Bundesministerium für Digitales und Verkehr,811011219,Bundesministerium für Digitales und Verkehr einsneunachteinseinsnulleins ,Bundesministerium für Digitales und Verkehr einsneunachteinseinsnulleins  Erwerb von Fahrzeugen,Bundesministerium für Digitales und Verkehr,811011219.0
1039,30,2,68771,11313311.47,Beiträge zu laufenden Kosten Europäischer Schulen,Bundesministerium für Bildung und Forschung,687713002,Bundesministerium für Bildung und Forschung nullzweisechsachtsiebensiebeneins ,Bundesministerium für Bildung und Forschung nullzweisechsachtsiebensiebeneins  Beiträge zu laufenden Kosten Europäischer Schulen,Bundesministerium für Bildung und Forschung,687713002.0
1041,7,12,51802,11226037.22,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Justiz,518020712,Bundesministerium der Justiz einszweifünfeinsachtnullzwei ,Bundesministerium der Justiz einszweifünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Justiz,518020712.0
1042,15,17,42801,11181068.09,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Gesundheit,428011517,Bundesministerium für Gesundheit einssiebenvierzweiachtnulleins ,Bundesministerium für Gesundheit einssiebenvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Gesundheit,428011517.0
1043,7,11,44101,11157416.56,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Justiz,441010711,Bundesministerium der Justiz einseinsvierviereinsnulleins ,Bundesministerium der Justiz einseinsvierviereinsnulleins  Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium der Justiz,441010711.0
1044,7,16,42201,11136379.81,"Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Beamtinnen und Beamten",Bundesministerium der Justiz,422010716,Bundesministerium der Justiz einssechsvierzweizweinulleins ,"Bundesministerium der Justiz einssechsvierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Beamtinnen und Beamten",Bundesministerium der Justiz,422010716.0
1045,6,25,68501,11113536.63,Zuschüsse für Projekte aus dem Fonds für Innere Sicherheit (ISF Grenzen) der Europäischen Union,Bundesministerium des Innern und für Heimat,685010625,Bundesministerium des Innern und für Heimat zweifünfsechsachtfünfnulleins ,Bundesministerium des Innern und für Heimat zweifünfsechsachtfünfnulleins  Zuschüsse für Projekte aus dem Fonds für Innere Sicherheit (ISF Grenzen) der Europäischen Union,Bundesministerium des Innern und für Heimat,685010625.0
1046,12,1,82131,11087025.74,"Grunderwerb für Um- und Ausbau, Rastanlagen, Lärmschutzmaßnahmen (Bundesautobahnen)",Bundesministerium für Digitales und Verkehr,821311201,Bundesministerium für Digitales und Verkehr nulleinsachtzweieinsdreieins ,"Bundesministerium für Digitales und Verkehr nulleinsachtzweieinsdreieins  Grunderwerb für Um- und Ausbau, Rastanlagen, Lärmschutzmaßnahmen (Bundesautobahnen)",Bundesministerium für Digitales und Verkehr,711011218.0
1047,5,12,51121,11079881.29,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",Auswärtiges Amt,511210512,Auswärtiges Amt einszweifünfeinseinszweieins ,"Auswärtiges Amt einszweifünfeinseinszweieins  Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",Auswärtiges Amt,511210512.0
1048,16,4,88201,11035395.31,Zuweisungen zur Errichtung und Sicherung schutzwürdiger Teile von Natur und Landschaft mit gesamtstaatlich repräsentativer Bedeutung,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",882011604,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullvierachtachtzweinulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullvierachtachtzweinulleins  Zuweisungen zur Errichtung und Sicherung schutzwürdiger Teile von Natur und Landschaft mit gesamtstaatlich repräsentativer Bedeutung",,
1050,8,13,45301,11010867.14,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Bundesministerium der Finanzen,453010813,Bundesministerium der Finanzen einsdreivierfünfdreinulleins ,"Bundesministerium der Finanzen einsdreivierfünfdreinulleins  Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Bundesministerium der Finanzen,453010813.0
1051,6,3,68403,11001633.68,Zuwendungen für Suchdienstaufgaben und für die Bearbeitung von Unterlagen zur Familienzusammenführung und Aussiedlung von Deutschen,Bundesministerium des Innern und für Heimat,684030603,Bundesministerium des Innern und für Heimat nulldreisechsachtviernulldrei ,Bundesministerium des Innern und für Heimat nulldreisechsachtviernulldrei  Zuwendungen für Suchdienstaufgaben und für die Bearbeitung von Unterlagen zur Familienzusammenführung und Aussiedlung von Deutschen,Bundesministerium des Innern und für Heimat,684030603.0
1052,6,4,89305,11000000.0,Zuschüsse zum Wohneigentumserwerb (Baukindergeld),Bundesministerium des Innern und für Heimat,893050604,Bundesministerium des Innern und für Heimat nullvierachtneundreinullfünf ,Bundesministerium des Innern und für Heimat nullvierachtneundreinullfünf  Zuschüsse zum Wohneigentumserwerb (Baukindergeld),Bundesministerium des Innern und für Heimat,527010624.0
1054,11,13,51802,10826106.38,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Arbeit und Soziales,518021113,Bundesministerium für Arbeit und Soziales einsdreifünfeinsachtnullzwei ,Bundesministerium für Arbeit und Soziales einsdreifünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Arbeit und Soziales,518021113.0
1055,6,14,51802,10798683.95,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium des Innern und für Heimat,518020614,Bundesministerium des Innern und für Heimat einsvierfünfeinsachtnullzwei ,Bundesministerium des Innern und für Heimat einsvierfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium des Innern und für Heimat,518020614.0
1056,6,25,51411,10797967.19,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",Bundesministerium des Innern und für Heimat,514110625,Bundesministerium des Innern und für Heimat zweifünffünfeinsviereinseins ,"Bundesministerium des Innern und für Heimat zweifünffünfeinsviereinseins  Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",Bundesministerium des Innern und für Heimat,514110625.0
1057,23,5,68541,10778152.55,Institutionelle Förderung von Einrichtungen der Forschung und Evaluierung in der entwicklungspolitischen Zusammenarbeit - Betrieb,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,685412305,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullfünfsechsachtfünfviereins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullfünfsechsachtfünfviereins  Institutionelle Förderung von Einrichtungen der Forschung und Evaluierung in der entwicklungspolitischen Zusammenarbeit - Betrieb,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,685412305.0
1058,15,4,54401,10730377.05,"Forschung, Untersuchungen und Ähnliches",Bundesministerium für Gesundheit,544011504,Bundesministerium für Gesundheit nullvierfünfvierviernulleins ,"Bundesministerium für Gesundheit nullvierfünfvierviernulleins  Forschung, Untersuchungen und Ähnliches",Bundesministerium für Gesundheit,544011504.0
1059,8,16,51701,10728974.44,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium der Finanzen,517010816,Bundesministerium der Finanzen einssechsfünfeinssiebennulleins ,"Bundesministerium der Finanzen einssechsfünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium der Finanzen,517010816.0
1060,10,17,11101,10660389.93,"Gebühren, sonstige Entgelte",Bundesministerium für Ernährung und Landwirtschaft,111011017,Bundesministerium für Ernährung und Landwirtschaft einssiebeneinseinseinsnulleins ,"Bundesministerium für Ernährung und Landwirtschaft einssiebeneinseinseinsnulleins  Gebühren, sonstige Entgelte",Bundesministerium für Ernährung und Landwirtschaft,111011017.0
1061,14,10,11201,10655734.03,"Geldstrafen, Geldbußen und Gerichtskosten",Bundesministerium der Verteidigung,112011410,Bundesministerium der Verteidigung einsnulleinseinszweinulleins ,"Bundesministerium der Verteidigung einsnulleinseinszweinulleins  Geldstrafen, Geldbußen und Gerichtskosten",Bundesministerium der Verteidigung,112011410.0
1062,11,6,27204,10631233.36,Einnahmen aus Zuschüssen des Europäischen Hilfsfonds für die am stärksten benachteiligten Personen,Bundesministerium für Arbeit und Soziales,272041106,Bundesministerium für Arbeit und Soziales nullsechszweisiebenzweinullvier ,Bundesministerium für Arbeit und Soziales nullsechszweisiebenzweinullvier  Einnahmen aus Zuschüssen des Europäischen Hilfsfonds für die am stärksten benachteiligten Personen,Bundesministerium für Arbeit und Soziales,272041106.0
1063,16,1,88301,10599268.5,Stärkung VN-Standort Bonn - Zukunftsinvestitionen,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",883011601,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinsachtachtdreinulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinsachtachtdreinulleins  Stärkung VN-Standort Bonn - Zukunftsinvestitionen","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",111011603.0
1065,10,2,68404,10568051.97,Information der Verbraucherinnen und Verbraucher,Bundesministerium für Ernährung und Landwirtschaft,684041002,Bundesministerium für Ernährung und Landwirtschaft nullzweisechsachtviernullvier ,Bundesministerium für Ernährung und Landwirtschaft nullzweisechsachtviernullvier  Information der Verbraucherinnen und Verbraucher,Bundesministerium für Ernährung und Landwirtschaft,684041002.0
1066,5,12,51711,10559684.75,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Auswärtiges Amt,517110512,Auswärtiges Amt einszweifünfeinssiebeneinseins ,"Auswärtiges Amt einszweifünfeinssiebeneinseins  Bewirtschaftung der Grundstücke, Gebäude und Räume",Auswärtiges Amt,517110512.0
1071,14,4,98101,10427879.2,Leistungen an Bundesbehörden zur Durchführung von Aufträgen,Bundesministerium der Verteidigung,981011404,Bundesministerium der Verteidigung nullvierneunachteinsnulleins ,Bundesministerium der Verteidigung nullvierneunachteinsnulleins  Leistungen an Bundesbehörden zur Durchführung von Aufträgen,Bundesministerium der Verteidigung,981011404.0
1072,10,12,51802,10408480.55,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Ernährung und Landwirtschaft,518021012,Bundesministerium für Ernährung und Landwirtschaft einszweifünfeinsachtnullzwei ,Bundesministerium für Ernährung und Landwirtschaft einszweifünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Ernährung und Landwirtschaft,518021012.0
1074,4,11,44657,10364621.0,Beihilfen aufgrund der Beihilfevorschriften,Bundeskanzler und Bundeskanzleramt,446570411,Bundeskanzler und Bundeskanzleramt einseinsvierviersechsfünfsieben ,Bundeskanzler und Bundeskanzleramt einseinsvierviersechsfünfsieben  Beihilfen aufgrund der Beihilfevorschriften,Bundeskanzler und Bundeskanzleramt,446570411.0
1075,6,4,68681,10359159.48,Zuwendungen für Antragsforschung im Baubereich,Bundesministerium des Innern und für Heimat,686810604,Bundesministerium des Innern und für Heimat nullviersechsachtsechsachteins ,Bundesministerium des Innern und für Heimat nullviersechsachtsechsachteins  Zuwendungen für Antragsforschung im Baubereich,,
1077,12,17,51802,10326955.75,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Digitales und Verkehr,518021217,Bundesministerium für Digitales und Verkehr einssiebenfünfeinsachtnullzwei ,Bundesministerium für Digitales und Verkehr einssiebenfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Digitales und Verkehr,518021217.0
1078,12,20,51701,10305757.71,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium für Digitales und Verkehr,517011220,Bundesministerium für Digitales und Verkehr zweinullfünfeinssiebennulleins ,"Bundesministerium für Digitales und Verkehr zweinullfünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium für Digitales und Verkehr,517011220.0
1080,7,15,42201,10284407.63,"Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Beamtinnen und Beamten",Bundesministerium der Justiz,422010715,Bundesministerium der Justiz einsfünfvierzweizweinulleins ,"Bundesministerium der Justiz einsfünfvierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Richterinnen, Richter, Beamtinnen und Beamten",Bundesministerium der Justiz,422010715.0
1081,2,12,51901,10270910.74,Unterhaltung der Grundstücke und baulichen Anlagen,Deutscher Bundestag,519010212,Deutscher Bundestag einszweifünfeinsneunnulleins ,Deutscher Bundestag einszweifünfeinsneunnulleins  Unterhaltung der Grundstücke und baulichen Anlagen,Deutscher Bundestag,519010212.0
1082,16,14,42801,10244992.44,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",428011614,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsviervierzweiachtnulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsviervierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",428011614.0
1083,14,13,54781,10237701.19,Nicht aufteilbare sächliche Verwaltungsausgaben,Bundesministerium der Verteidigung,547811413,Bundesministerium der Verteidigung einsdreifünfviersiebenachteins ,Bundesministerium der Verteidigung einsdreifünfviersiebenachteins  Nicht aufteilbare sächliche Verwaltungsausgaben,Bundesministerium der Verteidigung,547811413.0
1084,4,32,42201,10219243.63,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundeskanzler und Bundeskanzleramt,422010432,Bundeskanzler und Bundeskanzleramt dreizweivierzweizweinulleins ,Bundeskanzler und Bundeskanzleramt dreizweivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundeskanzler und Bundeskanzleramt,422010432.0
1086,4,55,51802,10203144.49,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundeskanzler und Bundeskanzleramt,518020455,Bundeskanzler und Bundeskanzleramt fünffünffünfeinsachtnullzwei ,Bundeskanzler und Bundeskanzleramt fünffünffünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundeskanzler und Bundeskanzleramt,518020452.0
1087,12,1,53221,10170198.87,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium für Digitales und Verkehr,532211201,Bundesministerium für Digitales und Verkehr nulleinsfünfdreizweizweieins ,Bundesministerium für Digitales und Verkehr nulleinsfünfdreizweizweieins  Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium für Digitales und Verkehr,532211201.0
1088,6,23,81202,10145203.43,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium des Innern und für Heimat,812020623,Bundesministerium des Innern und für Heimat zweidreiachteinszweinullzwei ,"Bundesministerium des Innern und für Heimat zweidreiachteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium des Innern und für Heimat,812020623.0
1089,7,19,81202,10103883.17,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium der Justiz,812020719,Bundesministerium der Justiz einsneunachteinszweinullzwei ,"Bundesministerium der Justiz einsneunachteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium der Justiz,812020719.0
1090,6,24,42203,10096478.21,Bezüge der Anwärterinnen und Anwärter sowie Nebenleistungen der Beamtinnen und Beamten auf Widerruf im Vorbereitungsdienst,Bundesministerium des Innern und für Heimat,422030624,Bundesministerium des Innern und für Heimat zweiviervierzweizweinulldrei ,Bundesministerium des Innern und für Heimat zweiviervierzweizweinulldrei  Bezüge der Anwärterinnen und Anwärter sowie Nebenleistungen der Beamtinnen und Beamten auf Widerruf im Vorbereitungsdienst,Bundesministerium des Innern und für Heimat,422030624.0
1091,60,2,55901,10000000.0,Beitrag zur Beschaffung von Verteidigungssystemen für Israel,Allgemeine Finanzverwaltung,559016002,Allgemeine Finanzverwaltung nullzweifünffünfneunnulleins ,Allgemeine Finanzverwaltung nullzweifünffünfneunnulleins  Beitrag zur Beschaffung von Verteidigungssystemen für Israel,Allgemeine Finanzverwaltung,559016002.0
1092,6,2,81214,9999999.99,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich der Informationstechnik",Bundesministerium des Innern und für Heimat,812140602,Bundesministerium des Innern und für Heimat nullzweiachteinszweieinsvier ,"Bundesministerium des Innern und für Heimat nullzweiachteinszweieinsvier  Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich der Informationstechnik",Bundesministerium des Innern und für Heimat,812320602.0
1093,16,13,51802,9979530.93,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",518021613,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdreifünfeinsachtnullzwei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdreifünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",518021613.0
1094,5,10,53201,9974039.05,Aufträge und Dienstleistungen im Bereich Informationstechnik,Auswärtiges Amt,532010510,Auswärtiges Amt einsnullfünfdreizweinulleins ,Auswärtiges Amt einsnullfünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik,Auswärtiges Amt,532010513.0
1095,6,12,81202,9972247.93,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium des Innern und für Heimat,812020612,Bundesministerium des Innern und für Heimat einszweiachteinszweinullzwei ,"Bundesministerium des Innern und für Heimat einszweiachteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium des Innern und für Heimat,812020612.0
1096,16,13,11101,9919963.6,"Gebühren, sonstige Entgelte","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",111011613,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdreieinseinseinsnulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdreieinseinseinsnulleins  Gebühren, sonstige Entgelte","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",111011613.0
1097,6,3,68750,9890000.0,Soziale und kulturelle Förderung der deutschen Volksgruppe in Nordschleswig/Dänemark,Bundesministerium des Innern und für Heimat,687500603,Bundesministerium des Innern und für Heimat nulldreisechsachtsiebenfünfnull ,Bundesministerium des Innern und für Heimat nulldreisechsachtsiebenfünfnull  Soziale und kulturelle Förderung der deutschen Volksgruppe in Nordschleswig/Dänemark,Bundesministerium des Innern und für Heimat,687500603.0
1098,6,4,23201,9821955.41,Einnahmen aus Zinszahlungen und Erstattungen von Fördermitteln der Städtebauförderung von den Ländern,Bundesministerium des Innern und für Heimat,232010604,Bundesministerium des Innern und für Heimat nullvierzweidreizweinulleins ,Bundesministerium des Innern und für Heimat nullvierzweidreizweinulleins  Einnahmen aus Zinszahlungen und Erstattungen von Fördermitteln der Städtebauförderung von den Ländern,,
1100,15,13,54711,9791373.55,Nicht aufteilbare sächliche Verwaltungsausgaben,Bundesministerium für Gesundheit,547111513,Bundesministerium für Gesundheit einsdreifünfviersiebeneinseins ,Bundesministerium für Gesundheit einsdreifünfviersiebeneinseins  Nicht aufteilbare sächliche Verwaltungsausgaben,Bundesministerium für Gesundheit,547111513.0
1102,6,4,66108,9781917.43,"Zinszuschüsse im Rahmen des Programms ""Altersgerecht Umbauen"" der KfW- Bankengruppe",Bundesministerium des Innern und für Heimat,661080604,Bundesministerium des Innern und für Heimat nullviersechssechseinsnullacht ,"Bundesministerium des Innern und für Heimat nullviersechssechseinsnullacht  Zinszuschüsse im Rahmen des Programms ""Altersgerecht Umbauen"" der KfW- Bankengruppe",,
1103,11,13,42201,9778841.71,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Arbeit und Soziales,422011113,Bundesministerium für Arbeit und Soziales einsdreivierzweizweinulleins ,Bundesministerium für Arbeit und Soziales einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Arbeit und Soziales,422011113.0
1104,30,2,16201,9759974.39,Zinsen für Darlehen nach dem Bundesausbildungsförderungsgesetz (BAföG),Bundesministerium für Bildung und Forschung,162013002,Bundesministerium für Bildung und Forschung nullzweieinssechszweinulleins ,Bundesministerium für Bildung und Forschung nullzweieinssechszweinulleins  Zinsen für Darlehen nach dem Bundesausbildungsförderungsgesetz (BAföG),Bundesministerium für Bildung und Forschung,162013002.0
1107,14,12,45301,9692931.22,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Bundesministerium der Verteidigung,453011412,Bundesministerium der Verteidigung einszweivierfünfdreinulleins ,"Bundesministerium der Verteidigung einszweivierfünfdreinulleins  Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Bundesministerium der Verteidigung,453011412.0
1108,4,52,68111,9678009.91,"Schutz, Erwerb und Rückführung von Kulturgut",Bundeskanzler und Bundeskanzleramt,681110452,Bundeskanzler und Bundeskanzleramt fünfzweisechsachteinseinseins ,"Bundeskanzler und Bundeskanzleramt fünfzweisechsachteinseinseins  Schutz, Erwerb und Rückführung von Kulturgut",Bundeskanzler und Bundeskanzleramt,681110452.0
1109,12,1,54401,9625763.63,"Forschung, Untersuchungen und Ähnliches",Bundesministerium für Digitales und Verkehr,544011201,Bundesministerium für Digitales und Verkehr nulleinsfünfvierviernulleins ,"Bundesministerium für Digitales und Verkehr nulleinsfünfvierviernulleins  Forschung, Untersuchungen und Ähnliches",Bundesministerium für Digitales und Verkehr,544011201.0
1111,14,4,89421,9580000.0,Investitionen,Bundesministerium der Verteidigung,894211404,Bundesministerium der Verteidigung nullvierachtneunvierzweieins ,Bundesministerium der Verteidigung nullvierachtneunvierzweieins  Investitionen,Bundesministerium der Verteidigung,894211404.0
1114,6,24,52701,9523844.34,Dienstreisen,Bundesministerium des Innern und für Heimat,527010624,Bundesministerium des Innern und für Heimat zweivierfünfzweisiebennulleins ,Bundesministerium des Innern und für Heimat zweivierfünfzweisiebennulleins  Dienstreisen,Bundesministerium des Innern und für Heimat,527010622.0
1116,5,11,42401,9439684.89,Zuführung an die Versorgungsrücklage,Auswärtiges Amt,424010511,Auswärtiges Amt einseinsvierzweiviernulleins ,Auswärtiges Amt einseinsvierzweiviernulleins  Zuführung an die Versorgungsrücklage,Auswärtiges Amt,424010511.0
1117,14,3,63653,9431429.79,Heil- und Krankenbehandlung im Rahmen der Beschädigten- und Hinterbliebenenversorgung,Bundesministerium der Verteidigung,636531403,Bundesministerium der Verteidigung nulldreisechsdreisechsfünfdrei ,Bundesministerium der Verteidigung nulldreisechsdreisechsfünfdrei  Heil- und Krankenbehandlung im Rahmen der Beschädigten- und Hinterbliebenenversorgung,Bundesministerium der Verteidigung,636531403.0
