,index,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,ministries,id,id_nlp_help,id_nlp
1766,4954,25,14,42709,4897123.73,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",251442709,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier vierzweisiebennullneun ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier vierzweisiebennullneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige"
1767,1324,6,29,53909,4877014.68,Vermischte Verwaltungsausgaben,Bundesministerium des Innern und für Heimat,062953909,Bundesministerium des Innern und für Heimat zweineun fünfdreineunnullneun ,Bundesministerium des Innern und für Heimat zweineun fünfdreineunnullneun  Vermischte Verwaltungsausgaben
1768,1780,8,15,63201,4871068.02,Sonstige Zuweisungen an Länder,Bundesministerium der Finanzen,081563201,Bundesministerium der Finanzen einsfünf sechsdreizweinulleins ,Bundesministerium der Finanzen einsfünf sechsdreizweinulleins  Sonstige Zuweisungen an Länder
1769,2212,9,18,98101,4853583.89,Leistungen an Bundesbehörden zur Durchführung von Aufträgen,Bundesministerium für Wirtschaft und Klimaschutz,091898101,Bundesministerium für Wirtschaft und Klimaschutz einsacht neunachteinsnulleins ,Bundesministerium für Wirtschaft und Klimaschutz einsacht neunachteinsnulleins  Leistungen an Bundesbehörden zur Durchführung von Aufträgen
1770,1177,6,24,53202,4831673.51,Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT),Bundesministerium des Innern und für Heimat,062453202,Bundesministerium des Innern und für Heimat zweivier fünfdreizweinullzwei ,Bundesministerium des Innern und für Heimat zweivier fünfdreizweinullzwei  Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT)
1771,78,2,11,54301,4826712.44,Veröffentlichungen und Fachinformationen,Deutscher Bundestag,021154301,Deutscher Bundestag einseins fünfvierdreinulleins ,Deutscher Bundestag einseins fünfvierdreinulleins  Veröffentlichungen und Fachinformationen
1772,3675,14,4,89411,4820000.0,Investitionen,Bundesministerium der Verteidigung,140489411,Bundesministerium der Verteidigung nullvier achtneunviereinseins ,Bundesministerium der Verteidigung nullvier achtneunviereinseins  Investitionen
1773,767,6,1,68519,4810817.44,Kosten der Deutschen Islam Konferenz (DIK) sowie Förderung von Projekten zur Umsetzung der Ziele der DIK und des interreligiösen Dialogs mit Bezug zum Islam,Bundesministerium des Innern und für Heimat,060168519,Bundesministerium des Innern und für Heimat nulleins sechsachtfünfeinsneun ,Bundesministerium des Innern und für Heimat nulleins sechsachtfünfeinsneun  Kosten der Deutschen Islam Konferenz (DIK) sowie Förderung von Projekten zur Umsetzung der Ziele der DIK und des interreligiösen Dialogs mit Bezug zum Islam
1774,318,4,32,38103,4803753.1,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,Bundeskanzler und Bundeskanzleramt,043238103,Bundeskanzler und Bundeskanzleramt dreizwei dreiachteinsnulldrei ,Bundeskanzler und Bundeskanzleramt dreizwei dreiachteinsnulldrei  Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7
1775,602,5,11,38107,4802890.55,Leistungen von Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben,Auswärtiges Amt,051138107,Auswärtiges Amt einseins dreiachteinsnullsieben ,Auswärtiges Amt einseins dreiachteinsnullsieben  Leistungen von Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben
1776,1332,6,29,81202,4795838.23,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium des Innern und für Heimat,062981202,Bundesministerium des Innern und für Heimat zweineun achteinszweinullzwei ,"Bundesministerium des Innern und für Heimat zweineun achteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik"
1777,1416,7,10,68703,4791716.0,Beitrag zu den laufenden Kosten des Einheitlichen Patentgerichts,Bundesministerium der Justiz,071068703,Bundesministerium der Justiz einsnull sechsachtsiebennulldrei ,Bundesministerium der Justiz einsnull sechsachtsiebennulldrei  Beitrag zu den laufenden Kosten des Einheitlichen Patentgerichts
1778,1686,8,11,54201,4790138.2,Öffentlichkeitsarbeit,Bundesministerium der Finanzen,081154201,Bundesministerium der Finanzen einseins fünfvierzweinulleins ,Bundesministerium der Finanzen einseins fünfvierzweinulleins  Öffentlichkeitsarbeit
1779,3948,15,11,44657,4779724.95,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium für Gesundheit,151144657,Bundesministerium für Gesundheit einseins vierviersechsfünfsieben ,Bundesministerium für Gesundheit einseins vierviersechsfünfsieben  Beihilfen aufgrund der Beihilfevorschriften
1780,2295,10,5,54431,4777159.97,"Forschung, Untersuchungen und Ähnliches",Bundesministerium für Ernährung und Landwirtschaft,100554431,Bundesministerium für Ernährung und Landwirtschaft nullfünf fünfviervierdreieins ,"Bundesministerium für Ernährung und Landwirtschaft nullfünf fünfviervierdreieins  Forschung, Untersuchungen und Ähnliches"
1781,2653,11,6,27204,4769950.33,Einnahmen aus Zuschüssen des Europäischen Hilfsfonds für die am stärksten benachteiligten Personen,Bundesministerium für Arbeit und Soziales,110627204,Bundesministerium für Arbeit und Soziales nullsechs zweisiebenzweinullvier ,Bundesministerium für Arbeit und Soziales nullsechs zweisiebenzweinullvier  Einnahmen aus Zuschüssen des Europäischen Hilfsfonds für die am stärksten benachteiligten Personen
1782,3218,12,14,54711,4760202.08,Nicht aufteilbare sächliche Verwaltungsausgaben,Bundesministerium für Digitales und Verkehr,121454711,Bundesministerium für Digitales und Verkehr einsvier fünfviersiebeneinseins ,Bundesministerium für Digitales und Verkehr einsvier fünfviersiebeneinseins  Nicht aufteilbare sächliche Verwaltungsausgaben
1783,1289,6,28,81202,4759590.04,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium des Innern und für Heimat,062881202,Bundesministerium des Innern und für Heimat zweiacht achteinszweinullzwei ,"Bundesministerium des Innern und für Heimat zweiacht achteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik"
1784,3075,12,10,68602,4757399.42,Förderung der Aus- und Nachrüstung von Kraftfahrzeugen mit Abbiegeassistenzsystemen,Bundesministerium für Digitales und Verkehr,121068602,Bundesministerium für Digitales und Verkehr einsnull sechsachtsechsnullzwei ,Bundesministerium für Digitales und Verkehr einsnull sechsachtsechsnullzwei  Förderung der Aus- und Nachrüstung von Kraftfahrzeugen mit Abbiegeassistenzsystemen
1785,5121,30,12,42709,4756688.5,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Bundesministerium für Bildung und Forschung,301242709,Bundesministerium für Bildung und Forschung einszwei vierzweisiebennullneun ,"Bundesministerium für Bildung und Forschung einszwei vierzweisiebennullneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige"
1786,95,2,12,41117,4754323.35,"Auslandsdienstreisen der Abgeordneten nach § 17  Abgeordnetengesetz, ohne Reisen zu internationalen parlamentarischen Versammlungen",Deutscher Bundestag,021241117,Deutscher Bundestag einszwei viereinseinseinssieben ,"Deutscher Bundestag einszwei viereinseinseinssieben  Auslandsdienstreisen der Abgeordneten nach § 17  Abgeordnetengesetz, ohne Reisen zu internationalen parlamentarischen Versammlungen"
1787,2932,12,1,51821,4752005.73,Mieten und Pachten,Bundesministerium für Digitales und Verkehr,120151821,Bundesministerium für Digitales und Verkehr nulleins fünfeinsachtzweieins ,Bundesministerium für Digitales und Verkehr nulleins fünfeinsachtzweieins  Mieten und Pachten
1790,334,4,32,51701,4744043.96,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundeskanzler und Bundeskanzleramt,043251701,Bundeskanzler und Bundeskanzleramt dreizwei fünfeinssiebennulleins ,"Bundeskanzler und Bundeskanzleramt dreizwei fünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume"
1791,4778,23,10,53203,4743014.08,Sonstige Dienstleistungsaufträge an Dritte,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,231053203,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einsnull fünfdreizweinulldrei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einsnull fünfdreizweinulldrei  Sonstige Dienstleistungsaufträge an Dritte
1792,4853,25,1,89303,4742552.7,"Zuschüsse für Investitionen im Rahmen des Programms ""Kriminalprävention durch Einbruchsicherung"" der KfW-Bankengruppe","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",250189303,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleins achtneundreinulldrei ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleins achtneundreinulldrei  Zuschüsse für Investitionen im Rahmen des Programms ""Kriminalprävention durch Einbruchsicherung"" der KfW-Bankengruppe"
1793,3363,12,18,52701,4742253.43,Dienstreisen,Bundesministerium für Digitales und Verkehr,121852701,Bundesministerium für Digitales und Verkehr einsacht fünfzweisiebennulleins ,Bundesministerium für Digitales und Verkehr einsacht fünfzweisiebennulleins  Dienstreisen
1795,2302,10,5,68644,4733402.79,Zuschüsse zur Förderung von Maßnahmen zur Verbesserung der Versorgung mit pflanzlichen Eiweißen heimischer Produktion,Bundesministerium für Ernährung und Landwirtschaft,100568644,Bundesministerium für Ernährung und Landwirtschaft nullfünf sechsachtsechsviervier ,Bundesministerium für Ernährung und Landwirtschaft nullfünf sechsachtsechsviervier  Zuschüsse zur Förderung von Maßnahmen zur Verbesserung der Versorgung mit pflanzlichen Eiweißen heimischer Produktion
1796,3316,12,18,11101,4726005.53,"Gebühren, sonstige Entgelte",Bundesministerium für Digitales und Verkehr,121811101,Bundesministerium für Digitales und Verkehr einsacht einseinseinsnulleins ,"Bundesministerium für Digitales und Verkehr einsacht einseinseinsnulleins  Gebühren, sonstige Entgelte"
1797,2641,11,5,63601,4724108.83,Kostenerstattung für die Bundesfachstelle Barrierefreiheit und Überwachungsstelle barrierefreie IT an die DRV Knappschaft-Bahn-See,Bundesministerium für Arbeit und Soziales,110563601,Bundesministerium für Arbeit und Soziales nullfünf sechsdreisechsnulleins ,Bundesministerium für Arbeit und Soziales nullfünf sechsdreisechsnulleins  Kostenerstattung für die Bundesfachstelle Barrierefreiheit und Überwachungsstelle barrierefreie IT an die DRV Knappschaft-Bahn-See
1798,870,6,3,63250,4723987.01,Erstattung von Personal- und Sozialaufwendungen an das Land Schleswig-Holstein,Bundesministerium des Innern und für Heimat,060363250,Bundesministerium des Innern und für Heimat nulldrei sechsdreizweifünfnull ,Bundesministerium des Innern und für Heimat nulldrei sechsdreizweifünfnull  Erstattung von Personal- und Sozialaufwendungen an das Land Schleswig-Holstein
1799,4920,25,12,51802,4722105.04,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",251251802,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einszwei fünfeinsachtnullzwei ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einszwei fünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement"
1801,3797,14,11,67157,4688070.74,Beteiligung an den Versorgungslasten der sonstigen Bereiche,Bundesministerium der Verteidigung,141167157,Bundesministerium der Verteidigung einseins sechssiebeneinsfünfsieben ,Bundesministerium der Verteidigung einseins sechssiebeneinsfünfsieben  Beteiligung an den Versorgungslasten der sonstigen Bereiche
1802,3407,12,19,51101,4688017.98,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",Bundesministerium für Digitales und Verkehr,121951101,Bundesministerium für Digitales und Verkehr einsneun fünfeinseinsnulleins ,"Bundesministerium für Digitales und Verkehr einsneun fünfeinseinsnulleins  Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung"
1804,3141,12,11,44301,4679384.97,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,Bundesministerium für Digitales und Verkehr,121144301,Bundesministerium für Digitales und Verkehr einseins viervierdreinulleins ,Bundesministerium für Digitales und Verkehr einseins viervierdreinulleins  Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften
1806,429,4,52,68592,4673817.23,Kosten der Neuordnung im Rundfunkbereich,Bundeskanzler und Bundeskanzleramt,045268592,Bundeskanzler und Bundeskanzleramt fünfzwei sechsachtfünfneunzwei ,Bundeskanzler und Bundeskanzleramt fünfzwei sechsachtfünfneunzwei  Kosten der Neuordnung im Rundfunkbereich
1807,4823,23,12,52701,4667160.88,Dienstreisen,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,231252701,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einszwei fünfzweisiebennulleins ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung einszwei fünfzweisiebennulleins  Dienstreisen
1808,1569,7,18,51802,4659674.89,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Justiz,071851802,Bundesministerium der Justiz einsacht fünfeinsachtnullzwei ,Bundesministerium der Justiz einsacht fünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement
1810,5131,30,12,53201,4635580.4,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium für Bildung und Forschung,301253201,Bundesministerium für Bildung und Forschung einszwei fünfdreizweinulleins ,Bundesministerium für Bildung und Forschung einszwei fünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik
1811,1826,9,1,68305,4632570.24,Plattform Industrielle Bioökonomie,Bundesministerium für Wirtschaft und Klimaschutz,090168305,Bundesministerium für Wirtschaft und Klimaschutz nulleins sechsachtdreinullfünf ,Bundesministerium für Wirtschaft und Klimaschutz nulleins sechsachtdreinullfünf  Plattform Industrielle Bioökonomie
1812,3516,12,22,42201,4624619.83,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Digitales und Verkehr,122242201,Bundesministerium für Digitales und Verkehr zweizwei vierzweizweinulleins ,Bundesministerium für Digitales und Verkehr zweizwei vierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
1813,4703,21,12,42801,4619966.25,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,211242801,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit einszwei vierzweiachtnulleins ,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit einszwei vierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
1814,343,4,32,81202,4602941.45,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundeskanzler und Bundeskanzleramt,043281202,Bundeskanzler und Bundeskanzleramt dreizwei achteinszweinullzwei ,"Bundeskanzler und Bundeskanzleramt dreizwei achteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik"
1815,4192,16,1,68604,4601596.5,Förderung digitaler Anwendungen zur Steigerung der Ressourceneffizienz in zirkulären Produktionsprozessen,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",160168604,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleins sechsachtsechsnullvier ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleins sechsachtsechsnullvier  Förderung digitaler Anwendungen zur Steigerung der Ressourceneffizienz in zirkulären Produktionsprozessen"
1818,3189,12,13,51101,4581485.97,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",Bundesministerium für Digitales und Verkehr,121351101,Bundesministerium für Digitales und Verkehr einsdrei fünfeinseinsnulleins ,"Bundesministerium für Digitales und Verkehr einsdrei fünfeinseinsnulleins  Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung"
1819,3186,12,13,42709,4569828.52,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Bundesministerium für Digitales und Verkehr,121342709,Bundesministerium für Digitales und Verkehr einsdrei vierzweisiebennullneun ,"Bundesministerium für Digitales und Verkehr einsdrei vierzweisiebennullneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige"
1820,1980,9,12,52701,4566776.18,Dienstreisen,Bundesministerium für Wirtschaft und Klimaschutz,091252701,Bundesministerium für Wirtschaft und Klimaschutz einszwei fünfzweisiebennulleins ,Bundesministerium für Wirtschaft und Klimaschutz einszwei fünfzweisiebennulleins  Dienstreisen
1821,687,5,12,51831,4563618.2,Mieten und Pachten,Auswärtiges Amt,051251831,Auswärtiges Amt einszwei fünfeinsachtdreieins ,Auswärtiges Amt einszwei fünfeinsachtdreieins  Mieten und Pachten
1822,3997,15,12,54761,4549700.23,Nicht aufteilbare sächliche Verwaltungsausgaben,Bundesministerium für Gesundheit,151254761,Bundesministerium für Gesundheit einszwei fünfviersiebensechseins ,Bundesministerium für Gesundheit einszwei fünfviersiebensechseins  Nicht aufteilbare sächliche Verwaltungsausgaben
1823,4959,25,14,51701,4532423.48,"Bewirtschaftung der Grundstücke, Gebäude und Räume","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",251451701,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier fünfeinssiebennulleins ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier fünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume"
1827,3427,12,20,38101,4502776.09,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,Bundesministerium für Digitales und Verkehr,122038101,Bundesministerium für Digitales und Verkehr zweinull dreiachteinsnulleins ,Bundesministerium für Digitales und Verkehr zweinull dreiachteinsnulleins  Leistungen von Bundesbehörden zur Durchführung von Aufträgen
1828,2767,11,13,51701,4488215.22,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium für Arbeit und Soziales,111351701,Bundesministerium für Arbeit und Soziales einsdrei fünfeinssiebennulleins ,"Bundesministerium für Arbeit und Soziales einsdrei fünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume"
1829,3110,12,10,68661,4484823.71,"Zuwendungen für Forschungs-, Entwicklungs- und Modellvorhaben zur Marktaktivierung für die Nutzung alternativer Kraftstoffe und zum Aufbau einer entsprechenden Tank- und Ladeinfrastruktur",Bundesministerium für Digitales und Verkehr,121068661,Bundesministerium für Digitales und Verkehr einsnull sechsachtsechssechseins ,"Bundesministerium für Digitales und Verkehr einsnull sechsachtsechssechseins  Zuwendungen für Forschungs-, Entwicklungs- und Modellvorhaben zur Marktaktivierung für die Nutzung alternativer Kraftstoffe und zum Aufbau einer entsprechenden Tank- und Ladeinfrastruktur"
1831,1162,6,24,68702,4464364.11,Leistungen an internationale Organisationen und Leistungen im Zusammenhang mit nationalen Mitgliedschaften,Bundesministerium des Innern und für Heimat,062468702,Bundesministerium des Innern und für Heimat zweivier sechsachtsiebennullzwei ,Bundesministerium des Innern und für Heimat zweivier sechsachtsiebennullzwei  Leistungen an internationale Organisationen und Leistungen im Zusammenhang mit nationalen Mitgliedschaften
1833,372,4,52,68411,4445000.0,Förderung für geflüchtete Kultur- und Medienschaffende,Bundeskanzler und Bundeskanzleramt,045268411,Bundeskanzler und Bundeskanzleramt fünfzwei sechsachtviereinseins ,Bundeskanzler und Bundeskanzleramt fünfzwei sechsachtviereinseins  Förderung für geflüchtete Kultur- und Medienschaffende
1834,339,4,32,53201,4429320.29,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundeskanzler und Bundeskanzleramt,043253201,Bundeskanzler und Bundeskanzleramt dreizwei fünfdreizweinulleins ,Bundeskanzler und Bundeskanzleramt dreizwei fünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik
1837,4293,16,13,38101,4409227.97,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",161338101,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdrei dreiachteinsnulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsdrei dreiachteinsnulleins  Leistungen von Bundesbehörden zur Durchführung von Aufträgen"
1838,3093,12,10,68315,4378304.32,Nachhaltige Modernisierung für die Küstenschifffahrt,Bundesministerium für Digitales und Verkehr,121068315,Bundesministerium für Digitales und Verkehr einsnull sechsachtdreieinsfünf ,Bundesministerium für Digitales und Verkehr einsnull sechsachtdreieinsfünf  Nachhaltige Modernisierung für die Küstenschifffahrt
1839,4164,15,17,51401,4374450.75,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",Bundesministerium für Gesundheit,151751401,Bundesministerium für Gesundheit einssieben fünfeinsviernulleins ,"Bundesministerium für Gesundheit einssieben fünfeinsviernulleins  Verbrauchsmittel, Haltung von Fahrzeugen und dgl."
1840,3451,12,20,42709,4371597.11,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Bundesministerium für Digitales und Verkehr,122042709,Bundesministerium für Digitales und Verkehr zweinull vierzweisiebennullneun ,"Bundesministerium für Digitales und Verkehr zweinull vierzweisiebennullneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige"
1841,4666,20,12,51701,4362460.41,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesrechnungshof,201251701,Bundesrechnungshof einszwei fünfeinssiebennulleins ,"Bundesrechnungshof einszwei fünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume"
1842,4549,17,13,51701,4360193.87,"Bewirtschaftung der Grundstücke, Gebäude und Räume","Bundesministerium für Familie, Senioren, Frauen und Jugend",171351701,"Bundesministerium für Familie, Senioren, Frauen und Jugend einsdrei fünfeinssiebennulleins ","Bundesministerium für Familie, Senioren, Frauen und Jugend einsdrei fünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume"
1843,3605,14,3,38103,4359357.28,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,Bundesministerium der Verteidigung,140338103,Bundesministerium der Verteidigung nulldrei dreiachteinsnulldrei ,Bundesministerium der Verteidigung nulldrei dreiachteinsnulldrei  Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7
1844,1285,6,28,71101,4305613.32,"Kleine Neu-, Um- und Erweiterungsbauten",Bundesministerium des Innern und für Heimat,062871101,Bundesministerium des Innern und für Heimat zweiacht siebeneinseinsnulleins ,"Bundesministerium des Innern und für Heimat zweiacht siebeneinseinsnulleins  Kleine Neu-, Um- und Erweiterungsbauten"
1846,4547,17,13,51101,4290842.65,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung","Bundesministerium für Familie, Senioren, Frauen und Jugend",171351101,"Bundesministerium für Familie, Senioren, Frauen und Jugend einsdrei fünfeinseinsnulleins ","Bundesministerium für Familie, Senioren, Frauen und Jugend einsdrei fünfeinseinsnulleins  Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung"
1847,964,6,14,51801,4284502.16,Mieten und Pachten,Bundesministerium des Innern und für Heimat,061451801,Bundesministerium des Innern und für Heimat einsvier fünfeinsachtnulleins ,Bundesministerium des Innern und für Heimat einsvier fünfeinsachtnulleins  Mieten und Pachten
1848,4941,25,12,81202,4279925.12,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",251281202,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einszwei achteinszweinullzwei ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einszwei achteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik"
1851,3347,12,18,42821,4256498.72,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Digitales und Verkehr,121842821,Bundesministerium für Digitales und Verkehr einsacht vierzweiachtzweieins ,Bundesministerium für Digitales und Verkehr einsacht vierzweiachtzweieins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
1852,4395,16,16,42221,4249680.14,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",161642221,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einssechs vierzweizweizweieins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einssechs vierzweizweizweieins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten"
1854,2543,10,17,42709,4233683.39,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Bundesministerium für Ernährung und Landwirtschaft,101742709,Bundesministerium für Ernährung und Landwirtschaft einssieben vierzweisiebennullneun ,"Bundesministerium für Ernährung und Landwirtschaft einssieben vierzweisiebennullneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige"
1855,3251,12,15,54711,4229570.52,Nicht aufteilbare sächliche Verwaltungsausgaben,Bundesministerium für Digitales und Verkehr,121554711,Bundesministerium für Digitales und Verkehr einsfünf fünfviersiebeneinseins ,Bundesministerium für Digitales und Verkehr einsfünf fünfviersiebeneinseins  Nicht aufteilbare sächliche Verwaltungsausgaben
1856,681,5,12,81221,4229151.36,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)",Auswärtiges Amt,051281221,Auswärtiges Amt einszwei achteinszweizweieins ,"Auswärtiges Amt einszwei achteinszweizweieins  Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)"
