,index,Epl.,Kap.,Tit.,Ist 2013,Zweckbestimmung,ministries,2013 id,id_nlp_help,id_nlp,2013 Zweck,id
1094,2518,10,17,11101,7781070.83,"Gebühren, sonstige Entgelte",Bundesministerium für Ernährung und Landwirtschaft,111011017,Bundesministerium für Ernährung und Landwirtschaft einssiebeneinseinseinsnulleins ,"Bundesministerium für Ernährung und Landwirtschaft einssiebeneinseinseinsnulleins  Gebühren, sonstige Entgelte","Gebühren, sonstige Entgelte",111011017.0
1095,3657,12,26,88281,7750000.0,Zuweisungen für Investitionen,Bundesministerium für Digitales und Verkehr,882811226,Bundesministerium für Digitales und Verkehr zweisechsachtachtzweiachteins ,Bundesministerium für Digitales und Verkehr zweisechsachtachtzweiachteins  Zuweisungen für Investitionen,"Gebühren, sonstige Entgelte",111011228.0
1096,1948,9,4,53204,7747909.38,Kosten der Beteiligung des Bundes an Weltausstellungen im Ausland,Bundesministerium für Wirtschaft und Klimaschutz,532040904,Bundesministerium für Wirtschaft und Klimaschutz nullvierfünfdreizweinullvier ,Bundesministerium für Wirtschaft und Klimaschutz nullvierfünfdreizweinullvier  Kosten der Beteiligung des Bundes an Weltausstellungen im Ausland,Kosten der Beteiligung des Bundes an Weltausstellungen im Ausland,532040904.0
1097,331,4,5,89221,7736223.0,Digitalisierung der Kinos,Bundeskanzler und Bundeskanzleramt,892210405,Bundeskanzler und Bundeskanzleramt nullfünfachtneunzweizweieins ,Bundeskanzler und Bundeskanzleramt nullfünfachtneunzweizweieins  Digitalisierung der Kinos,Digitalisierung,684170452.0
1098,3852,14,4,52501,7733723.03,Aus- und Fortbildung,Bundesministerium der Verteidigung,525011404,Bundesministerium der Verteidigung nullvierfünfzweifünfnulleins ,Bundesministerium der Verteidigung nullvierfünfzweifünfnulleins  Aus- und Fortbildung,Aus- und Fortbildung,525011413.0
1099,4503,16,7,42831,7726358.81,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",428311607,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsiebenvierzweiachtdreieins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsiebenvierzweiachtdreieins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer",Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428211616.0
1100,2005,9,12,51701,7715892.45,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium für Wirtschaft und Klimaschutz,517010912,Bundesministerium für Wirtschaft und Klimaschutz einszweifünfeinssiebennulleins ,"Bundesministerium für Wirtschaft und Klimaschutz einszweifünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume","Bewirtschaftung der Grundstücke, Gebäude und Räume",517010912.0
1102,2669,11,4,42201,7682887.66,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Arbeit und Soziales,422011104,Bundesministerium für Arbeit und Soziales nullviervierzweizweinulleins ,Bundesministerium für Arbeit und Soziales nullviervierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422011116.0
1107,3287,12,11,42201,7582006.15,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Digitales und Verkehr,422011211,Bundesministerium für Digitales und Verkehr einseinsvierzweizweinulleins ,Bundesministerium für Digitales und Verkehr einseinsvierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422111217.0
1108,4289,15,11,42801,7567239.4,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Gesundheit,428011511,Bundesministerium für Gesundheit einseinsvierzweiachtnulleins ,Bundesministerium für Gesundheit einseinsvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428111517.0
1109,3633,12,25,63271,7543900.0,Zweckgebundene Zuweisungen an die Länder für Mitgliedseinrichtungen der Wissenschaftsgemeinschaft Gottfried Wilhelm Leibniz e. V. (WGL),Bundesministerium für Digitales und Verkehr,632711225,Bundesministerium für Digitales und Verkehr zweifünfsechsdreizweisiebeneins ,Bundesministerium für Digitales und Verkehr zweifünfsechsdreizweisiebeneins  Zweckgebundene Zuweisungen an die Länder für Mitgliedseinrichtungen der Wissenschaftsgemeinschaft Gottfried Wilhelm Leibniz e. V. (WGL),,
1110,2745,11,6,42201,7529121.15,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Arbeit und Soziales,422011106,Bundesministerium für Arbeit und Soziales nullsechsvierzweizweinulleins ,Bundesministerium für Arbeit und Soziales nullsechsvierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,422111116.0
1111,847,6,8,42709,7524664.25,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Bundesministerium des Innern und für Heimat,427090608,Bundesministerium des Innern und für Heimat nullachtvierzweisiebennullneun ,"Bundesministerium des Innern und für Heimat nullachtvierzweisiebennullneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige","Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",427290628.0
1112,605,5,2,68780,7508929.83,Maßnahmen der regionalen Zusammenarbeit,Auswärtiges Amt,687800502,Auswärtiges Amt nullzweisechsachtsiebenachtnull ,Auswärtiges Amt nullzweisechsachtsiebenachtnull  Maßnahmen der regionalen Zusammenarbeit,Maßnahmen der regionalen Zusammenarbeit,687400501.0
1114,3251,12,10,68532,7500000.0,Bundesanteil an den Verwaltungskosten der DEGES Deutsche Einheit Fernstraßenplanungs- und Bau GmbH,Bundesministerium für Digitales und Verkehr,685321210,Bundesministerium für Digitales und Verkehr einsnullsechsachtfünfdreizwei ,Bundesministerium für Digitales und Verkehr einsnullsechsachtfünfdreizwei  Bundesanteil an den Verwaltungskosten der DEGES Deutsche Einheit Fernstraßenplanungs- und Bau GmbH,Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT),532021214.0
1115,812,6,2,68643,7498798.92,Förderung von Projekten für demokratische Teilhabe und gegen Extremismus insbesondere in Ostdeutschland,Bundesministerium des Innern und für Heimat,686430602,Bundesministerium des Innern und für Heimat nullzweisechsachtsechsvierdrei ,Bundesministerium des Innern und für Heimat nullzweisechsachtsechsvierdrei  Förderung von Projekten für demokratische Teilhabe und gegen Extremismus insbesondere in Ostdeutschland,Förderung von Projekten für demokratische Teilhabe und gegen Extremismus,686010635.0
1116,77,2,1,41116,7497369.53,Inlandsdienst- und Mandatsreisen der Abgeordneten nach §§ 16 und 17 Abgeordnetengesetz,Deutscher Bundestag,411160201,Deutscher Bundestag nulleinsviereinseinseinssechs ,Deutscher Bundestag nulleinsviereinseinseinssechs  Inlandsdienst- und Mandatsreisen der Abgeordneten nach §§ 16 und 17 Abgeordnetengesetz,Inlandsdienst- und Mandatsreisen der Abgeordneten nach §§ 16 und 17 Abgeordnetengesetz,411160212.0
1117,585,5,2,51731,7495000.0,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Auswärtiges Amt,517310502,Auswärtiges Amt nullzweifünfeinssiebendreieins ,"Auswärtiges Amt nullzweifünfeinssiebendreieins  Bewirtschaftung der Grundstücke, Gebäude und Räume","Bewirtschaftung der Grundstücke, Gebäude und Räume",517310512.0
1118,3289,12,11,42801,7472207.02,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Digitales und Verkehr,428011211,Bundesministerium für Digitales und Verkehr einseinsvierzweiachtnulleins ,Bundesministerium für Digitales und Verkehr einseinsvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428111214.0
1119,2371,10,12,53202,7448389.72,Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT),Bundesministerium für Ernährung und Landwirtschaft,532021012,Bundesministerium für Ernährung und Landwirtschaft einszweifünfdreizweinullzwei ,Bundesministerium für Ernährung und Landwirtschaft einszweifünfdreizweinullzwei  Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT),Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT),532021012.0
1123,4485,16,7,11101,7437741.02,"Gebühren, sonstige Entgelte","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",111011607,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsiebeneinseinseinsnulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullsiebeneinseinseinsnulleins  Gebühren, sonstige Entgelte","Gebühren, sonstige Entgelte",111011603.0
1124,4185,15,6,51802,7428553.61,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Gesundheit,518021506,Bundesministerium für Gesundheit nullsechsfünfeinsachtnullzwei ,Bundesministerium für Gesundheit nullsechsfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518021516.0
1125,1568,7,7,11101,7421686.33,"Gebühren, sonstige Entgelte",Bundesministerium der Justiz,111010707,Bundesministerium der Justiz nullsiebeneinseinseinsnulleins ,"Bundesministerium der Justiz nullsiebeneinseinseinsnulleins  Gebühren, sonstige Entgelte","Gebühren, sonstige Entgelte",111010717.0
1126,4890,23,2,68102,7412621.14,Leistungen nach dem Entwicklungshelfer-Gesetz,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,681022302,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweisechsachteinsnullzwei ,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung nullzweisechsachteinsnullzwei  Leistungen nach dem Entwicklungshelfer-Gesetz,Leistungen nach dem Entwicklungshelfer-Gesetz,681022301.0
1127,333,4,5,89422,7406999.63,Investitionen für nationale Kultureinrichtungen in Ostdeutschland,Bundeskanzler und Bundeskanzleramt,894220405,Bundeskanzler und Bundeskanzleramt nullfünfachtneunvierzweizwei ,Bundeskanzler und Bundeskanzleramt nullfünfachtneunvierzweizwei  Investitionen für nationale Kultureinrichtungen in Ostdeutschland,Investitionen für nationale Kultureinrichtungen in Deutschland,894220452.0
1128,1859,8,15,42801,7379073.79,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Finanzen,428010815,Bundesministerium der Finanzen einsfünfvierzweiachtnulleins ,Bundesministerium der Finanzen einsfünfvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428410810.0
1129,840,6,8,51802,7334664.6,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium des Innern und für Heimat,518020608,Bundesministerium des Innern und für Heimat nullachtfünfeinsachtnullzwei ,Bundesministerium des Innern und für Heimat nullachtfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518020618.0
1130,4406,16,4,89602,7330000.0,Sanierung des Sarkophags in Tschernobyl,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",896021604,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullvierachtneunsechsnullzwei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullvierachtneunsechsnullzwei  Sanierung des Sarkophags in Tschernobyl",,
1131,3764,14,2,38112,7295635.42,Erstattungen anderer Bundesbehörden,Bundesministerium der Verteidigung,381121402,Bundesministerium der Verteidigung nullzweidreiachteinseinszwei ,Bundesministerium der Verteidigung nullzweidreiachteinseinszwei  Erstattungen anderer Bundesbehörden,Erstattungen Dritter - Ausland -,266111410.0
1132,4211,15,6,51701,7294146.29,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium für Gesundheit,517011506,Bundesministerium für Gesundheit nullsechsfünfeinssiebennulleins ,"Bundesministerium für Gesundheit nullsechsfünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume","Bewirtschaftung der Grundstücke, Gebäude und Räume",517011517.0
1134,1852,8,15,63201,7263748.31,Sonstige Zuweisungen an Länder,Bundesministerium der Finanzen,632010815,Bundesministerium der Finanzen einsfünfsechsdreizweinulleins ,Bundesministerium der Finanzen einsfünfsechsdreizweinulleins  Sonstige Zuweisungen an Länder,Sonstige Zuweisungen an Länder,632010815.0
1135,2590,11,1,51701,7257644.11,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium für Arbeit und Soziales,517011101,Bundesministerium für Arbeit und Soziales nulleinsfünfeinssiebennulleins ,"Bundesministerium für Arbeit und Soziales nulleinsfünfeinssiebennulleins  Bewirtschaftung der Grundstücke, Gebäude und Räume","Bewirtschaftung der Grundstücke, Gebäude und Räume",517011115.0
1136,2641,11,2,68621,7252883.56,Verwendung von Zuschüssen des Europäischen Fonds für die Anpassung an die Globalisierung,Bundesministerium für Arbeit und Soziales,686211102,Bundesministerium für Arbeit und Soziales nullzweisechsachtsechszweieins ,Bundesministerium für Arbeit und Soziales nullzweisechsachtsechszweieins  Verwendung von Zuschüssen des Europäischen Fonds für die Anpassung an die Globalisierung,Verwendung von Zuschüssen des Europäischen Fonds für die Anpassung an die Globalisierung,686211106.0
1137,4207,15,6,42802,7235490.64,Entgelte für Wissenschaftlerinnen und Wissenschaftler,Bundesministerium für Gesundheit,428021506,Bundesministerium für Gesundheit nullsechsvierzweiachtnullzwei ,Bundesministerium für Gesundheit nullsechsvierzweiachtnullzwei  Entgelte für Wissenschaftlerinnen und Wissenschaftler,Entgelte für Wissenschaftlerinnen und Wissenschaftler,428021515.0
1138,4088,15,2,53166,7213463.43,Aufklärungsmaßnahmen auf dem Gebiet des Drogen- und Suchtmittelmissbrauchs,Bundesministerium für Gesundheit,531661502,Bundesministerium für Gesundheit nullzweifünfdreieinssechssechs ,Bundesministerium für Gesundheit nullzweifünfdreieinssechssechs  Aufklärungsmaßnahmen auf dem Gebiet des Drogen- und Suchtmittelmissbrauchs,Aufklärungsmaßnahmen auf dem Gebiet des Drogen- und Suchtmittelmissbrauchs,531031503.0
1140,1723,8,3,89121,7184000.0,Zuwendungen an die Energiewerke Nord GmbH (EWN) - Investitionen,Bundesministerium der Finanzen,891210803,Bundesministerium der Finanzen nulldreiachtneuneinszweieins ,Bundesministerium der Finanzen nulldreiachtneuneinszweieins  Zuwendungen an die Energiewerke Nord GmbH (EWN) - Investitionen,,
1141,1873,8,16,51802,7161616.75,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Finanzen,518020816,Bundesministerium der Finanzen einssechsfünfeinsachtnullzwei ,Bundesministerium der Finanzen einssechsfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518020816.0
1142,893,6,10,51401,7156035.35,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",Bundesministerium des Innern und für Heimat,514010610,Bundesministerium des Innern und für Heimat einsnullfünfeinsviernulleins ,"Bundesministerium des Innern und für Heimat einsnullfünfeinsviernulleins  Verbrauchsmittel, Haltung von Fahrzeugen und dgl.","Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",514010624.0
1143,4386,16,2,98101,7151729.12,Leistungen an Bundesbehörden zur Durchführung von Aufträgen,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",981011602,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullzweineunachteinsnulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nullzweineunachteinsnulleins  Leistungen an Bundesbehörden zur Durchführung von Aufträgen",Leistungen an Bundesbehörden zur Durchführung von Aufträgen,981011613.0
1144,72,2,1,41104,7148009.99,"Zuschuss zu den Kosten in Krankheits-, Pflege- und Geburtsfällen sowie Unterstützungen nach §§ 27 und 28 Abgeordnetengesetz",Deutscher Bundestag,411040201,Deutscher Bundestag nulleinsviereinseinsnullvier ,"Deutscher Bundestag nulleinsviereinseinsnullvier  Zuschuss zu den Kosten in Krankheits-, Pflege- und Geburtsfällen sowie Unterstützungen nach §§ 27 und 28 Abgeordnetengesetz","Zuschuss zu den Kosten in Krankheits-, Pflege- und Geburtsfällen sowie Unterstützungen nach §§ 27 und 28 Abgeordnetengesetz",411040212.0
1145,1484,7,3,63403,7114993.94,Zuweisungen an den Versorgungsfonds,Bundesministerium der Justiz,634030703,Bundesministerium der Justiz nulldreisechsdreiviernulldrei ,Bundesministerium der Justiz nulldreisechsdreiviernulldrei  Zuweisungen an den Versorgungsfonds,,
1146,107,2,1,53102,7100243.34,Besucherdienst,Deutscher Bundestag,531020201,Deutscher Bundestag nulleinsfünfdreieinsnullzwei ,Deutscher Bundestag nulleinsfünfdreieinsnullzwei  Besucherdienst,,
1148,3889,14,7,53202,7094062.55,Gebühren für die Benutzung ziviler Flugplätze,Bundesministerium der Verteidigung,532021407,Bundesministerium der Verteidigung nullsiebenfünfdreizweinullzwei ,Bundesministerium der Verteidigung nullsiebenfünfdreizweinullzwei  Gebühren für die Benutzung ziviler Flugplätze,Gebühren für die Benutzung ziviler Flugplätze,534021407.0
1150,2927,12,2,28101,7017260.07,Rückzahlung von Zuwendungen,Bundesministerium für Digitales und Verkehr,281011202,Bundesministerium für Digitales und Verkehr nullzweizweiachteinsnulleins ,Bundesministerium für Digitales und Verkehr nullzweizweiachteinsnulleins  Rückzahlung von Zuwendungen,Rückzahlung von Zuwendungen,281011210.0
1151,1101,6,23,53202,7006123.79,Kosten für Entwicklungsvorhaben auf dem Gebiet der IT-Sicherheit,Bundesministerium des Innern und für Heimat,532020623,Bundesministerium des Innern und für Heimat zweidreifünfdreizweinullzwei ,Bundesministerium des Innern und für Heimat zweidreifünfdreizweinullzwei  Kosten für Entwicklungsvorhaben auf dem Gebiet der IT-Sicherheit,Zuschüsse zur Förderung der IT-Sicherheit,686020623.0
1152,2843,11,12,68401,7000000.0,Berufliche Integration und Beratung von Zuwanderern,Bundesministerium für Arbeit und Soziales,684011112,Bundesministerium für Arbeit und Soziales einszweisechsachtviernulleins ,Bundesministerium für Arbeit und Soziales einszweisechsachtviernulleins  Berufliche Integration und Beratung von Zuwanderern,Berufliche Integration und Beratung von Zuwanderern,684011101.0
1153,4627,17,2,53122,6975489.07,Aufklärung im Zusammenhang mit der Umsetzung des Schwangerschaftskonfliktgesetzes,"Bundesministerium für Familie, Senioren, Frauen und Jugend",531221702,"Bundesministerium für Familie, Senioren, Frauen und Jugend nullzweifünfdreieinszweizwei ","Bundesministerium für Familie, Senioren, Frauen und Jugend nullzweifünfdreieinszweizwei  Aufklärung im Zusammenhang mit der Umsetzung des Schwangerschaftskonfliktgesetzes",Aufklärung im Zusammenhang mit der Umsetzung des Schwangerschaftskonfliktgesetzes,531221703.0
1154,501,4,67,44657,6923687.23,Beihilfen aufgrund der Beihilfevorschriften,Bundeskanzler und Bundeskanzleramt,446570467,Bundeskanzler und Bundeskanzleramt sechssiebenvierviersechsfünfsieben ,Bundeskanzler und Bundeskanzleramt sechssiebenvierviersechsfünfsieben  Beihilfen aufgrund der Beihilfevorschriften,Beihilfen aufgrund der Beihilfevorschriften,446570431.0
1157,2342,10,11,44657,6870996.24,Beihilfen aufgrund der Beihilfevorschriften,Bundesministerium für Ernährung und Landwirtschaft,446571011,Bundesministerium für Ernährung und Landwirtschaft einseinsvierviersechsfünfsieben ,Bundesministerium für Ernährung und Landwirtschaft einseinsvierviersechsfünfsieben  Beihilfen aufgrund der Beihilfevorschriften,Beihilfen aufgrund der Beihilfevorschriften,446571011.0
1158,347,4,5,89461,6858790.13,Zuschüsse für Investitionen,Bundeskanzler und Bundeskanzleramt,894610405,Bundeskanzler und Bundeskanzleramt nullfünfachtneunviersechseins ,Bundeskanzler und Bundeskanzleramt nullfünfachtneunviersechseins  Zuschüsse für Investitionen,Zuschüsse für Investitionen,894610452.0
1159,4240,15,10,51802,6841883.64,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Gesundheit,518021510,Bundesministerium für Gesundheit einsnullfünfeinsachtnullzwei ,Bundesministerium für Gesundheit einsnullfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518021517.0
1160,97,2,1,51801,6835987.02,Mieten und Pachten,Deutscher Bundestag,518010201,Deutscher Bundestag nulleinsfünfeinsachtnulleins ,Deutscher Bundestag nulleinsfünfeinsachtnulleins  Mieten und Pachten,,
1162,2013,9,12,54401,6799233.78,"Forschung, Untersuchungen und Ähnliches",Bundesministerium für Wirtschaft und Klimaschutz,544010912,Bundesministerium für Wirtschaft und Klimaschutz einszweifünfvierviernulleins ,"Bundesministerium für Wirtschaft und Klimaschutz einszweifünfvierviernulleins  Forschung, Untersuchungen und Ähnliches","Forschung, Untersuchungen und Ähnliches",544010912.0
1165,1721,8,3,89111,6714000.0,Zuwendungen an die GVV Gesellschaft zur Verwahrung und Verwertung von stillgelegten Bergwerksbetriebe mbH (GVV) - Investitionen,Bundesministerium der Finanzen,891110803,Bundesministerium der Finanzen nulldreiachtneuneinseinseins ,Bundesministerium der Finanzen nulldreiachtneuneinseinseins  Zuwendungen an die GVV Gesellschaft zur Verwahrung und Verwertung von stillgelegten Bergwerksbetriebe mbH (GVV) - Investitionen,,
1166,2246,9,18,53201,6696859.03,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium für Wirtschaft und Klimaschutz,532010918,Bundesministerium für Wirtschaft und Klimaschutz einsachtfünfdreizweinulleins ,Bundesministerium für Wirtschaft und Klimaschutz einsachtfünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik,Aufträge und Dienstleistungen im Bereich Informationstechnik,532010918.0
1167,580,5,2,82102,6691400.0,Erwerb von Grundstücken für ausländische Vertretungen,Auswärtiges Amt,821020502,Auswärtiges Amt nullzweiachtzweieinsnullzwei ,Auswärtiges Amt nullzweiachtzweieinsnullzwei  Erwerb von Grundstücken für ausländische Vertretungen,,
1168,2302,10,5,89331,6689461.69,"Förderung von Innovationen im Bereich Ernährung, Landwirtschaft und Verbraucher",Bundesministerium für Ernährung und Landwirtschaft,893311005,Bundesministerium für Ernährung und Landwirtschaft nullfünfachtneundreidreieins ,"Bundesministerium für Ernährung und Landwirtschaft nullfünfachtneundreidreieins  Förderung von Innovationen im Bereich Ernährung, Landwirtschaft und Verbraucher","Förderung von Innovationen im Bereich Ernährung, Landwirtschaft und gesundheitlicher Verbraucherschutz",893311005.0
1169,3711,12,67,43457,6665717.55,Zuführung an die Versorgungsrücklage,Bundesministerium für Digitales und Verkehr,434571267,Bundesministerium für Digitales und Verkehr sechssiebenvierdreivierfünfsieben ,Bundesministerium für Digitales und Verkehr sechssiebenvierdreivierfünfsieben  Zuführung an die Versorgungsrücklage,Nicht aufteilbare sächliche Verwaltungsausgaben,547311210.0
1171,504,4,68,43257,6656421.96,Versorgungsbezüge,Bundeskanzler und Bundeskanzleramt,432570468,Bundeskanzler und Bundeskanzleramt sechsachtvierdreizweifünfsieben ,Bundeskanzler und Bundeskanzleramt sechsachtvierdreizweifünfsieben  Versorgungsbezüge,Zuweisungen an den Versorgungsfonds,634030415.0
1172,3960,14,20,55103,6621611.48,Entscheidungshilfen für Planung und Führung (Operations Research),Bundesministerium der Verteidigung,551031420,Bundesministerium der Verteidigung zweinullfünffünfeinsnulldrei ,Bundesministerium der Verteidigung zweinullfünffünfeinsnulldrei  Entscheidungshilfen für Planung und Führung (Operations Research),,
1173,2981,12,3,11999,6609463.6,Vermischte Einnahmen,Bundesministerium für Digitales und Verkehr,119991203,Bundesministerium für Digitales und Verkehr nulldreieinseinsneunneunneun ,Bundesministerium für Digitales und Verkehr nulldreieinseinsneunneunneun  Vermischte Einnahmen,Vermischte Einnahmen,119991204.0
1174,2165,9,15,54431,6568949.96,"Forschung, Untersuchungen und Ähnliches",Bundesministerium für Wirtschaft und Klimaschutz,544310915,Bundesministerium für Wirtschaft und Klimaschutz einsfünffünfviervierdreieins ,"Bundesministerium für Wirtschaft und Klimaschutz einsfünffünfviervierdreieins  Forschung, Untersuchungen und Ähnliches","Forschung, Untersuchungen und Ähnliches",544310915.0
1176,603,5,2,89672,6538863.33,Kleinstmaßnahmen der Auslandsvertretungen,Auswärtiges Amt,896720502,Auswärtiges Amt nullzweiachtneunsechssiebenzwei ,Auswärtiges Amt nullzweiachtneunsechssiebenzwei  Kleinstmaßnahmen der Auslandsvertretungen,Kleinstmaßnahmen der Auslandsvertretungen,896120502.0
1177,3042,12,3,42709,6530520.37,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Bundesministerium für Digitales und Verkehr,427091203,Bundesministerium für Digitales und Verkehr nulldreivierzweisiebennullneun ,"Bundesministerium für Digitales und Verkehr nulldreivierzweisiebennullneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige","Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",427091213.0
1178,2799,11,7,42801,6525158.07,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Arbeit und Soziales,428011107,Bundesministerium für Arbeit und Soziales nullsiebenvierzweiachtnulleins ,Bundesministerium für Arbeit und Soziales nullsiebenvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,428011116.0
1179,1818,8,13,53999,6514592.81,Vermischte Verwaltungsausgaben,Bundesministerium der Finanzen,539990813,Bundesministerium der Finanzen einsdreifünfdreineunneunneun ,Bundesministerium der Finanzen einsdreifünfdreineunneunneun  Vermischte Verwaltungsausgaben,Vermischte Verwaltungsausgaben,539990813.0
1182,2289,10,5,68601,6484817.82,Zuschüsse zur Förderung von Modell- und Demonstrationsvorhaben,Bundesministerium für Ernährung und Landwirtschaft,686011005,Bundesministerium für Ernährung und Landwirtschaft nullfünfsechsachtsechsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nullfünfsechsachtsechsnulleins  Zuschüsse zur Förderung von Modell- und Demonstrationsvorhaben,Zuschüsse zur Förderung von Modell- und Demonstrationsvorhaben,686011005.0
